Event	Gene	Sig. RBPs	Sig. Gene Expression	Sig. Sex	Tissue	Dimorphic
28670	EPRS	DAZAP1(-0.16),ENOX1(-0.07),FXR1(0.23),G3BP2(0.14),HNRNPA2B1(0.18),HNRNPK(-0.31),HNRNPL(0.18),HNRNPU(0.21),KHDRBS3(0.07),PABPC3(-0.06),PABPN1(-0.19),PTBP1(0.21),RALY(-0.25),RBFOX1(-0.06),RBM3(-0.11),RBM42(0.13),RBM5(0.54),SNRPA(0.12),SRP54(-0.15),SRSF7(-0.15),TARDBP(-0.3),ZCRB1(0.08),ZNF638(-0.46)	0.11	0	Breast - Mammary Tissue	No
7628	RNF216P1	A1CF(0.06),DAZAP1(-0.23),HNRNPH1(0.31),KHDRBS1(0.27),KHDRBS3(0.08),PABPC3(0.07),PPRC1(-0.22),PTBP1(0.22),RBFOX1(-0.09),RBM28(0.13),ZCRB1(0.12)	0.2	0	Breast - Mammary Tissue	No
6041	HERC1	CPEB2(0.11),ESRP2(0.16),FXR1(0.11),HNRNPA2B1(0.16),HNRNPC(-0.04),HNRNPL(-0.11),PCBP3(-0.07),RBFOX1(-0.05),RBM38(-0.12),SRSF7(-0.13),U2AF2(-0.21)	0.23	0	Breast - Mammary Tissue	No
34829	RIT1	CPEB2(0.08),CPEB4(-0.1),DAZAP1(-0.11),ESRP2(-0.13),FMR1(-0.16),FXR1(0.12),HNRNPA2B1(0.17),HNRNPF(0.24),HNRNPK(-0.23),PABPC3(-0.05),PTBP1(0.15),SRP54(0.15),SRSF1(-0.08),ZNF638(-0.22)	0.21	0	Breast - Mammary Tissue	No
11976	TUT1	ANKHD1(-0.17),CPEB2(0.06),CPEB4(-0.09),FUS(0.1),FXR1(0.1),HNRNPA2B1(0.22),HNRNPC(-0.04),HNRNPF(0.2),HNRNPM(-0.25),IGF2BP3(0.05),MBNL1(0.1),PABPC4(-0.14),PTBP1(0.14),PUM2(-0.22),RBFOX1(-0.07),RBM24(0.08),RBM28(0.09),RBM45(0.04),RBMS3(-0.13),SNRNP70(0.12),SNRPA(0.1),SRSF1(0.09),SRSF10(-0.23),SRSF7(-0.11),SRSF9(-0.08),U2AF2(-0.2),ZC3H10(0.12),ZCRB1(-0.07)	0	0	Breast - Mammary Tissue	No
25931	APBB1	CPEB2(0.07),CPEB4(-0.08),FMR1(-0.14),PABPC5(-0.08),PCBP3(-0.1),PUM2(-0.21),QKI(0.09),RBM6(-0.16),RBP1(-0.07),RSF1(0.2),SNRNP70(0.15),SRP54(0.12),SRSF10(0.19),YBX2(-0.09),ZNF638(-0.24)	0.38	0	Breast - Mammary Tissue	No
1482	GTF2A2	CPEB2(0.06),CPEB4(-0.14),FMR1(-0.19),FUS(0.09),G3BP2(0.09),HNRNPH1(0.14),HNRNPH2(0.18),IGF2BP3(-0.04),MATR3(-0.17),PCBP2(-0.11),PPRC1(-0.14),RBM24(-0.09),RBM5(0.27),RBM6(-0.14),RBP1(-0.1),RSF1(0.14),SF1(0.22),SFPQ(-0.11),SRSF1(-0.05),SRSF2(0.07),TARDBP(-0.19),ZC3H10(-0.1),ZNF638(-0.16)	0.07	0	Breast - Mammary Tissue	No
22636	MCFD2	ANKHD1(0.38),FMR1(-0.17),HNRNPA2B1(-0.18),HNRNPH2(0.17),HNRNPU(0.15),PABPN1(-0.15),RBM46(0.22),RBM6(0.09),RBP1(-0.11),RSF1(0.28),SAMD4A(-0.11),SNRPA(-0.14),SRP54(-0.13),SRSF10(0.33),SRSF9(0.11),TARDBP(-0.35),TUT1(0.1),ZC3H10(-0.18),ZCRB1(0.1)	0.23	0	Breast - Mammary Tissue	No
20847	CHMP7	CNOT4(0.15),HNRNPCL1(-0.16),HNRNPH2(0.15),MATR3(-0.29),PABPN1(-0.12),RBM8A(0.13),RBMS3(-0.08),SART3(-0.24),SF1(0.24),SRSF10(0.18),SRSF2(-0.21),TUT1(-0.07),U2AF2(-0.21),YBX1(0.12),ZNF638(-0.34)	0.23	0	Breast - Mammary Tissue	No
34349	GOSR2	CPEB4(-0.09),DAZAP1(-0.14),FUS(0.15),HNRNPC(0.04),HNRNPCL1(-0.13),HNRNPK(-0.13),PABPC3(0.05),PTBP1(0.27),RBM28(0.13),RBM5(-0.24),RBMS3(-0.1),SRP54(0.19),SRSF1(0.09)	0.08	0	Breast - Mammary Tissue	No
26242	COG4	DAZAP1(-0.23),HNRNPA1L2(-0.16),HNRNPA2B1(0.2),LIN28A(0.06),MSI1(0.13),PABPC3(-0.07),PABPC5(-0.13),PABPN1(-0.13),PCBP1(0.09),PCBP3(-0.06),RBFOX1(-0.06),RBM46(0.16),SRSF10(0.31),SRSF7(-0.17),SRSF9(-0.13),U2AF2(-0.24),YBX1(0.09),YBX2(-0.09),ZCRB1(0.09)	0.18	0	Breast - Mammary Tissue	No
27967	TUBGCP2	ANKHD1(0.2),CNOT4(0.26),DAZAP1(-0.12),FXR2(-0.14),HNRNPCL1(-0.32),HNRNPH2(-0.15),HNRNPL(0.14),HNRNPM(0.16),HNRNPU(0.21),IGF2BP2(-0.06),IGF2BP3(-0.06),MBNL1(-0.14),PABPC1(0.19),PABPC3(-0.04),RBM24(0.09),RBM28(0.09),RBM3(0.07),RBM38(-0.16),RBM4(0.19),RBM41(0.14),RBM46(0.14),SF1(-0.18),SNRPA(-0.12),SRP54(-0.17),SRSF1(-0.14),SRSF7(-0.14),SRSF9(0.17),YBX1(0.12),ZCRB1(0.07)	0.2	0.14	Breast - Mammary Tissue	No
12678	UBE2H	CPEB2(0.06),FMR1(-0.13),HNRNPA1(-0.07),HNRNPCL1(-0.21),HNRNPU(0.14),IGF2BP3(0.04),LIN28A(-0.04),MATR3(-0.2),PCBP2(0.1),PTBP1(0.16),QKI(-0.1),RBFOX1(-0.05),RBM3(-0.07),RBM38(-0.08),RBMS3(-0.07),RSF1(0.17),SFPQ(-0.15),SRSF2(0.1),TIA1(-0.23),TUT1(0.06)	0.26	-0.15	Breast - Mammary Tissue	No
33146	MAP1S	ANKHD1(-0.22),HNRNPH1(-0.13),MATR3(-0.22),PCBP3(-0.05),PUM2(0.16),RBM3(-0.06),RBM38(-0.07),RBM4(-0.1),RBMS1(0.08),SAMD4A(-0.06),SRP54(0.13),TARDBP(0.13)	0.26	0	Breast - Mammary Tissue	No
5075	NUP93	LIN28A(0.07),PABPC5(-0.17),SF1(0.25)	0	0	Breast - Mammary Tissue	No
22356	GOLT1B	ANKHD1(-0.16),CPEB2(0.08),FMR1(-0.15),FXR2(-0.1),HNRNPC(-0.04),HNRNPK(-0.15),IGF2BP2(0.06),KHDRBS1(0.19),MATR3(-0.23),PABPC5(-0.07),RBM24(-0.06),SRSF10(0.19)	0.13	0	Breast - Mammary Tissue	No
31203	RAB3GAP1	A1CF(-0.03),CPEB2(0.07),FUS(0.07),FXR2(-0.08),HNRNPA1L2(-0.1),HNRNPF(0.12),KHDRBS3(-0.04),RBFOX1(-0.09),RBM28(-0.07),RBM3(-0.07),RBM4(-0.1),RBM46(0.14),RBM5(0.25),RBM6(-0.1),RSF1(0.16),SNRPA(0.09),SRSF2(0.11),SRSF7(-0.13),SRSF9(-0.1),TARDBP(-0.21)	0.22	0	Breast - Mammary Tissue	No
38544	CERS5	A1CF(0.06),ANKHD1(0.21),DAZAP1(-0.11),FMR1(-0.24),HNRNPA1L2(-0.18),HNRNPA2B1(0.17),HNRNPC(-0.06),HNRNPCL1(-0.16),HNRNPH1(0.4),HNRNPL(0.16),HNRNPM(-0.24),HNRNPU(0.22),KHDRBS1(0.32),MATR3(-0.22),PABPC4(-0.1),PABPN1(-0.14),PCBP3(-0.07),PPRC1(-0.17),QKI(-0.13),RBM38(-0.11),RBM45(0.06),RBM46(0.15),RBM6(-0.11),RBMS3(0.14),SFPQ(0.2),SNRNP70(-0.15),SRSF10(0.38),TARDBP(-0.49),TUT1(0.1),YBX1(0.22),YBX2(0.07),ZCRB1(-0.08)	0.15	0	Breast - Mammary Tissue	No
21401	SERGEF	CNOT4(-0.14),FUS(0.15),G3BP2(0.14),HNRNPA1(-0.09),HNRNPCL1(-0.14),HNRNPF(-0.2),HNRNPH1(-0.29),MATR3(-0.2),MBNL1(-0.1),PABPC3(-0.05),RBM5(-0.24),SFPQ(0.21),SRSF1(-0.1),SRSF10(0.25),TIA1(0.23),ZNF638(0.26)	0.38	0	Breast - Mammary Tissue	No
27016	DYM	HNRNPH2(-0.26),HNRNPL(0.14),HNRNPU(0.16),IGF2BP3(0.06),MSI1(0.15),PABPC5(-0.08),PPRC1(-0.22),RALY(-0.16),RBFOX1(-0.08),RBM24(0.1),RBM5(-0.41),RBMS1(0.14),RBP1(0.11),TUT1(0.08),ZNF638(0.29)	0.32	0	Breast - Mammary Tissue	No
18920	TMEM167B	A1CF(-0.09),CNOT4(0.19),DAZAP1(-0.16),ENOX1(0.06),FMR1(-0.19),FXR1(0.11),G3BP2(0.25),HNRNPA1L2(0.2),HNRNPA2B1(0.21),HNRNPH1(0.31),HNRNPL(0.14),KHDRBS3(0.06),MATR3(-0.29),MSI1(0.2),PABPC3(-0.09),PABPC4(-0.11),PCBP1(0.16),PPRC1(-0.17),QKI(-0.15),RBM28(0.17),RBM5(-0.24),RBMS3(-0.08),RSF1(0.32),SF1(0.16),SFPQ(-0.19),SRSF1(0.08),SRSF10(0.21),SRSF9(-0.13),U2AF2(-0.21),YBX2(0.06)	0	0	Breast - Mammary Tissue	No
4267	ECSIT	CPO(0.05),ENOX1(-0.06),G3BP2(0.14),HNRNPCL1(-0.18),MBNL1(-0.11),PABPN1(-0.15),PPRC1(-0.12),PUM2(-0.24),RBM28(0.12),RBM45(0.03),RBMS3(-0.12),SFPQ(-0.13),SRSF9(-0.1),YBX1(-0.1)	0.28	0	Breast - Mammary Tissue	No
16907	MICU1	CNOT4(-0.25),ESRP2(-0.13),FMR1(-0.29),KHDRBS1(0.19),PABPN1(0.15),PCBP2(-0.13),PTBP1(0.2),PUM2(0.29),QKI(-0.1),RBFOX1(-0.07),RBM3(-0.11),RBM5(0.24),RBM8A(-0.18),RBMS1(-0.17),RBMS3(0.18),TARDBP(-0.26),YBX1(0.1)	0.21	0	Breast - Mammary Tissue	No
10155	IBTK	CNOT4(0.15),CPEB2(0.18),DAZAP1(0.2),FXR2(0.2),HNRNPA2B1(-0.16),HNRNPH1(-0.32),HNRNPK(0.22),HNRNPM(0.36),KHDRBS1(-0.18),MATR3(-0.27),PCBP3(-0.1),RBM3(-0.15),RBM38(-0.12),RBM5(0.32),SNRNP70(-0.15),SRP54(-0.14),SRSF2(0.15),U2AF2(-0.25),ZC3H14(-0.2),ZNF638(-0.23)	0.31	0	Breast - Mammary Tissue	No
9033	ZC3HC1	FMR1(-0.23),HNRNPA1L2(0.26),HNRNPCL1(-0.24),PABPC5(-0.15),PCBP3(-0.09),PPRC1(-0.15),RBM38(-0.24),RBM4(-0.18),RBM41(0.15),RBM8A(-0.23),TARDBP(-0.28),YBX1(0.22),ZCRB1(0.13)	0.2	0	Breast - Mammary Tissue	No
20309	ATP6V0A1	A1CF(-0.07),CPEB2(0.08),DAZAP1(-0.18),ENOX1(-0.06),FXR1(0.13),HNRNPA2B1(0.22),HNRNPC(-0.04),HNRNPL(0.12),KHDRBS1(0.19),MATR3(-0.32),PABPC1(-0.11),PABPC4(0.08),PABPC5(-0.07),PABPN1(-0.22),RBM6(-0.09),RBP1(-0.17),SNRNP70(0.34),SRSF10(0.21),TARDBP(-0.14),YBX2(-0.05),ZCRB1(0.07),ZNF638(-0.33)	0.39	0	Breast - Mammary Tissue	No
33558	CCDC149	HNRNPK(-0.24),HNRNPU(-0.18),PABPN1(0.31),PCBP1(0.11),PCBP3(-0.07),PTBP1(0.21),SAMD4A(-0.11),U2AF2(-0.24),YBX2(-0.08),ZNF638(-0.28)	0	0	Breast - Mammary Tissue	No
20030	PORCN	FXR2(0.24),G3BP2(-0.22),HNRNPCL1(0.2),HNRNPH2(0.27),KHDRBS3(-0.11),MATR3(-0.33),MBNL1(0.23),PABPC4(0.12),PPRC1(-0.16),PUM2(0.25),RBFOX1(-0.08),RBM28(-0.14),RBM3(-0.16),RBM38(-0.15),RBM41(-0.2),RBM42(0.16),RBM46(-0.26),RBM6(-0.2),YBX1(-0.15),ZC3H10(-0.16),ZC3H14(-0.21)	0.37	-0.17	Breast - Mammary Tissue	No
17110	TBC1D22A	A1CF(0.07),CNOT4(0.16),FUS(0.17),FXR2(0.11),HNRNPA1(-0.23),HNRNPA1L2(0.19),HNRNPH1(-0.24),HNRNPH2(-0.19),HNRNPK(-0.31),HNRNPU(0.26),KHDRBS2(-0.05),LIN28A(0.05),PABPC5(-0.13),PCBP2(0.2),PPRC1(-0.15),RBM3(-0.09),RBMS1(0.21),RSF1(0.36),SNRPA(-0.12),SRSF7(0.15),ZCRB1(0.15)	0.18	0	Breast - Mammary Tissue	No
19141	DENND1A	G3BP2(-0.2),KHDRBS3(0.08),MSI1(0.18),RBM38(-0.14),RBM5(-0.42),RBMS3(-0.2),RBP1(-0.14)	0.34	0	Breast - Mammary Tissue	No
22559	NSFL1C	CNOT4(-0.11),CPEB2(-0.09),FUS(0.09),HNRNPF(0.17),HNRNPK(-0.15),HNRNPU(0.18),KHDRBS3(0.05),MSI1(0.13),PABPC3(0.04),PCBP3(-0.05),PPRC1(-0.16),RBFOX1(-0.06),RBM24(-0.05),RBM3(-0.15),RBM42(-0.11),RBM8A(-0.11),SRSF1(-0.06),SRSF7(0.16),TIA1(-0.3),ZC3H10(0.11),ZCRB1(0.06)	0.12	0	Breast - Mammary Tissue	No
34972	SCFD1	DAZAP1(-0.2),ESRP2(0.12),HNRNPA1(0.11),HNRNPCL1(-0.28),IGF2BP2(0.09),IGF2BP3(-0.07),LIN28A(0.06),MSI1(0.19),PABPC5(-0.13),PABPN1(-0.35),PCBP3(-0.08),PPRC1(-0.14),PTBP1(0.32),PUM2(-0.31),RBFOX1(-0.08),RBM38(-0.11),RBM6(0.26),SART3(-0.3),SFPQ(-0.28),SRP54(0.14),SRSF10(0.3),TARDBP(0.18),U2AF2(-0.32),ZCRB1(-0.07)	0.13	0	Breast - Mammary Tissue	No
21019	RFC2	ENOX1(0.11),MATR3(-0.41),MBNL1(0.18),PTBP1(-0.2),RBM4(-0.21),RBM46(0.25),RBM6(-0.18),RSF1(0.29),SRSF10(0.26)	0.2	0	Breast - Mammary Tissue	No
14485	FN3KRP	ANKHD1(-0.24),CNOT4(-0.13),FUS(0.16),HNRNPA1(-0.12),KHDRBS2(0.05),KHDRBS3(0.07),MATR3(-0.28),MSI1(0.16),PCBP3(-0.07),PTBP1(0.14),RBM24(-0.08),TARDBP(0.18)	0.39	0	Breast - Mammary Tissue	No
16059	ARID1A	HNRNPF(0.14),HNRNPK(-0.23),KHDRBS2(-0.06),PCBP2(-0.13),PUM2(-0.25),RBM24(-0.1),RBM3(-0.13),RBM41(0.16),RBM45(-0.04),RBM46(-0.14),RBMS3(-0.08),SRP54(-0.14),SRSF9(0.1),TUT1(0.1)	0.32	0	Breast - Mammary Tissue	No
10217	UNC13B	CNOT4(0.13),CPO(-0.05),DAZAP1(-0.13),HNRNPA1(-0.1),HNRNPA1L2(-0.15),HNRNPA2B1(0.26),HNRNPC(0.04),HNRNPF(0.29),IGF2BP3(-0.05),KHDRBS1(0.2),KHDRBS3(-0.06),MATR3(-0.32),MBNL1(0.13),PABPC3(-0.06),PABPC4(-0.11),PABPN1(0.23),PCBP3(-0.05),RALY(0.19),RBFOX1(-0.05),RBM6(-0.27),RBMS3(-0.11),RBP1(-0.11),SART3(-0.24),SNRNP70(0.23),SRP54(-0.13),SRSF10(0.16),TARDBP(-0.19),YBX2(-0.07),ZC3H10(-0.09),ZNF638(0.21)	0.15	0	Breast - Mammary Tissue	No
20289	PELP1	ANKHD1(0.25),CNOT4(0.21),CPEB4(-0.1),CPO(0.1),HNRNPF(0.19),HNRNPH2(-0.26),HNRNPL(0.18),LIN28A(0.06),PCBP1(0.11),PCBP2(-0.14),PPRC1(-0.26),PUM2(-0.23),RBM45(-0.04),RBM46(-0.21),RBMS1(0.17),SNRNP70(-0.19),SRSF7(0.2),SRSF9(0.16),YBX1(-0.18),ZNF638(-0.23)	0.29	0	Breast - Mammary Tissue	No
5409	MAEA	CPEB4(-0.1),HNRNPA2B1(0.19),HNRNPL(-0.14),HNRNPM(0.14),HNRNPU(0.12),IGF2BP2(-0.06),IGF2BP3(0.05),KHDRBS1(0.14),KHDRBS2(-0.04),LIN28A(-0.04),MATR3(-0.38),PPRC1(-0.12),RBFOX1(-0.04),RBM38(-0.09),RBM41(-0.19),RBM42(0.12),RBM5(0.21),RBM6(-0.14),SNRPA(-0.13),SRSF2(0.19),SRSF9(-0.11),YBX1(-0.11),ZC3H14(-0.17),ZCRB1(0.07)	0.32	0	Breast - Mammary Tissue	No
38105	RUVBL2	CNOT4(0.09),CPEB2(0.08),CPEB4(-0.23),CPO(0.05),KHDRBS1(0.12),KHDRBS2(-0.04),MATR3(-0.23),PABPN1(-0.14),PUM2(-0.28),RALY(-0.16),RBM4(0.1),RBMS3(-0.09),RSF1(0.38),SART3(-0.31),SFPQ(0.16),SRSF1(-0.1),SRSF10(0.21),TUT1(0.05)	0.23	0	Breast - Mammary Tissue	No
9807	CTNNBL1	CPEB2(0.08),CPEB4(-0.18),FXR2(-0.12),G3BP2(0.11),HNRNPA1(0.09),HNRNPC(-0.07),HNRNPF(0.24),HNRNPH2(-0.15),HNRNPK(-0.14),HNRNPL(0.16),HNRNPM(0.18),KHDRBS1(-0.14),PABPC4(-0.18),PCBP3(-0.05),RBFOX1(-0.08),RBM28(0.09),RBM42(-0.09),RBM46(-0.14),RBM6(-0.1),RBM8A(-0.15),RBMS1(0.09),RSF1(0.19),SAMD4A(-0.1),SNRNP70(0.31),SRP54(0.24),SRSF2(-0.1),YBX2(-0.08)	0.15	0	Breast - Mammary Tissue	No
21756	DRG2	ANKHD1(-0.2),DAZAP1(-0.07),ESRP2(0.11),FUS(0.09),HNRNPC(0.03),HNRNPF(-0.11),HNRNPU(0.15),MSI1(-0.08),PABPC3(0.06),PABPC4(-0.13),PABPC5(-0.06),PABPN1(-0.13),PCBP1(-0.07),PCBP2(0.15),PTBP1(0.2),RBFOX1(-0.03),RBM24(-0.09),RBM3(-0.08),RBM4(0.1),RBM42(-0.08),RBM6(0.07),RBP1(-0.07),RSF1(-0.32),SNRPA(0.07),SRSF9(-0.13),U2AF2(-0.16),ZC3H14(0.1),ZCRB1(-0.05)	0.29	0	Breast - Mammary Tissue	No
8475	DLG1	ANKHD1(0.22),FUS(0.1),HNRNPA1L2(-0.13),HNRNPA2B1(0.28),HNRNPC(-0.05),HNRNPF(0.12),IGF2BP3(-0.07),PTBP1(-0.14),RBM38(-0.09),RBM46(0.18),RBM5(0.28),RBM6(-0.13),RBM8A(-0.12),RSF1(0.18),SART3(-0.19),SF1(-0.16),SRSF1(0.08),SRSF7(-0.14),TARDBP(-0.22),ZNF638(-0.27)	0.11	0	Breast - Mammary Tissue	No
35499	SAR1B	ANKHD1(-0.15),CPEB2(0.1),CPEB4(-0.08),FUS(0.13),FXR1(0.1),FXR2(-0.11),HNRNPA1L2(-0.11),HNRNPA2B1(0.15),HNRNPK(-0.11),KHDRBS3(0.04),MSI1(0.09),PCBP3(-0.07),PPRC1(-0.1),PTBP1(0.2),PUM2(-0.17),RBM24(-0.06),RBM3(-0.12),RBP1(-0.07),SFPQ(-0.19),SRSF10(0.2)	0.24	0	Breast - Mammary Tissue	No
8231	NUP85	FUS(0.1),FXR1(0.09),HNRNPA1(0.08),HNRNPA1L2(-0.12),HNRNPA2B1(0.09),HNRNPH2(0.1),HNRNPK(-0.12),MATR3(-0.16),MBNL1(0.07),PABPN1(0.09),RBFOX1(-0.03),RBM28(-0.07),RBM3(-0.09),RBM38(-0.08),RBM4(-0.11),RBM6(-0.06),SRSF1(-0.08),SRSF10(0.17),SRSF2(0.08),TARDBP(-0.12)	0.23	0	Breast - Mammary Tissue	No
38654	NAA60	ENOX1(0.08),FXR1(0.17),FXR2(-0.16),HNRNPCL1(-0.3),HNRNPL(0.18),HNRNPM(-0.2),IGF2BP2(-0.1),KHDRBS1(-0.2),LIN28A(-0.07),MBNL1(0.17),MSI1(-0.14),PABPC1(0.14),QKI(-0.28),RBFOX1(0.05),RBM38(-0.18),RBM4(-0.18),RBM41(0.24),RBP1(0.13),SRSF9(0.14),TUT1(0.15),U2AF2(-0.23),YBX1(0.25),ZC3H14(0.28)	0	0	Breast - Mammary Tissue	No
17117	MAPK7	A1CF(-0.06),CPEB2(0.07),ESRP2(0.12),HNRNPA1(-0.14),HNRNPA1L2(-0.15),PABPC1(0.13),PABPC5(-0.09),PCBP3(-0.08),PTBP1(0.15),PUM2(-0.34),SRSF9(-0.13)	0.31	0	Breast - Mammary Tissue	No
25342	VEZT	FMR1(-0.36),HNRNPL(-0.12),IGF2BP3(0.05),PABPC1(-0.11),PCBP2(0.23),QKI(0.13),RBM28(-0.12),RBM46(0.14),SRSF9(-0.17),TUT1(0.16),YBX1(0.17),YBX2(-0.08),ZC3H10(-0.11)	0.32	-0.21	Breast - Mammary Tissue	No
1381	DUSP3	CPEB2(0.08),CPEB4(-0.08),ESRP2(-0.11),FUS(0.1),HNRNPA2B1(0.18),HNRNPK(-0.15),KHDRBS1(0.16),MATR3(-0.17),MSI1(0.21),PABPC3(-0.07),PABPC5(-0.06),RBM24(-0.06),RBM3(-0.08),RBM46(0.12),RBM6(-0.13),RBMS1(-0.09),SRSF10(0.15),TARDBP(-0.22)	0.13	-0.19	Breast - Mammary Tissue	No
4189	RNF114	ANKHD1(-0.13),CPEB2(0.07),CPEB4(-0.13),DAZAP1(-0.07),ESRP2(-0.08),FUS(0.1),FXR1(0.11),FXR2(-0.1),HNRNPC(-0.03),HNRNPH1(0.17),HNRNPH2(0.15),HNRNPU(0.18),IGF2BP3(0.04),KHDRBS2(0.03),MATR3(-0.15),MSI1(0.11),PABPC1(-0.11),PABPC3(0.04),PABPC4(-0.13),PABPN1(-0.21),PCBP2(0.2),PCBP3(-0.04),RBM24(-0.09),RBM28(0.06),RBM41(0.11),RBM42(-0.1),RBM45(0.03),RBM46(0.12),RBM5(0.18),RBMS1(-0.12),RBMS3(-0.09),RSF1(0.27),SRSF10(0.2),SRSF7(-0.13),TARDBP(-0.12),U2AF2(-0.11),YBX1(0.13),YBX2(0.05),ZC3H10(-0.08),ZCRB1(-0.07),ZNF638(-0.2)	0.23	0.13	Breast - Mammary Tissue	No
11005	FBRS	HNRNPA1(-0.08),HNRNPCL1(-0.17),HNRNPU(0.2),MATR3(-0.33),PCBP3(-0.07),PTBP1(0.16),RBM3(-0.12),RBM41(-0.18),RBM42(0.1),RBM6(-0.13),RBP1(-0.1),SFPQ(-0.16)	0.33	0	Breast - Mammary Tissue	No
14940	TP73-AS1	FUS(0.17),G3BP2(0.16),HNRNPCL1(-0.15),HNRNPL(0.18),KHDRBS3(0.08),PABPC1(0.15),PABPC3(-0.08),QKI(-0.15),RBM3(-0.1),RBM38(-0.12),RBM6(-0.11),SRSF10(0.22),ZC3H14(-0.21),ZCRB1(0.07)	0.39	0	Breast - Mammary Tissue	No
1160	HAUS1	A1CF(0.05),CNOT4(-0.17),FXR2(-0.11),HNRNPL(-0.16),RBM24(-0.11),RBM3(-0.08),RBM45(0.05),RBMS1(0.15),SFPQ(0.19),SNRNP70(-0.17),SNRPA(0.17),U2AF2(0.23),YBX2(-0.06),ZC3H14(0.15)	0.32	0	Breast - Mammary Tissue	No
36602	RANBP3	ANKHD1(-0.17),CPEB2(0.08),FMR1(-0.29),HNRNPA2B1(0.12),HNRNPCL1(-0.27),HNRNPH1(-0.19),HNRNPH2(0.19),HNRNPM(0.14),IGF2BP3(0.05),KHDRBS3(0.06),LIN28A(-0.05),PABPC1(0.1),PABPC3(-0.05),PABPC5(-0.12),PCBP3(-0.07),PPRC1(-0.15),PTBP1(0.16),RBFOX1(-0.09),RBM24(-0.08),RBM38(-0.21),RBM41(0.12),RBM8A(0.18),RBMS3(-0.07),RBP1(0.08),SF1(0.26),SNRPA(-0.1),SRP54(0.13),SRSF9(-0.13),TARDBP(0.15),U2AF2(-0.25)	0	0	Breast - Mammary Tissue	No
20194	TYW3	CPEB2(0.11),CPEB4(-0.11),DAZAP1(0.13),FUS(0.21),FXR1(0.19),HNRNPA1(-0.16),HNRNPA2B1(-0.5),HNRNPF(0.22),HNRNPL(0.34),IGF2BP2(0.06),KHDRBS2(-0.06),KHDRBS3(0.12),MATR3(-0.31),MBNL1(-0.24),PABPC4(-0.11),PCBP2(-0.15),PCBP3(-0.18),RBFOX1(-0.08),RBM24(0.15),RBM28(0.28),RBM4(-0.16),RBM41(0.18),RBM45(0.06),RBM8A(-0.29),RBMS1(-0.12),RBP1(-0.1),RSF1(0.35),SAMD4A(-0.15),SRP54(-0.17),SRSF1(0.18),SRSF7(0.15),U2AF2(-0.28),YBX1(0.14),ZC3H10(-0.17)	0.34	0	Breast - Mammary Tissue	No
26835	VDAC3	ANKHD1(-0.1),CPO(-0.03),DAZAP1(-0.09),FXR1(0.06),FXR2(-0.07),G3BP2(0.08),HNRNPA1(-0.07),HNRNPA2B1(0.11),HNRNPCL1(-0.15),HNRNPF(0.16),HNRNPH1(0.16),HNRNPK(-0.1),IGF2BP2(0.06),IGF2BP3(0.05),LIN28A(-0.04),MATR3(-0.15),MSI1(0.09),PABPC3(-0.03),PABPN1(0.09),PPRC1(-0.18),PTBP1(0.11),RBFOX1(-0.05),RBM24(-0.07),RBM4(-0.08),RBM6(-0.08),RSF1(0.24),SART3(0.19),SFPQ(-0.14),SNRNP70(-0.09),SRSF2(0.12),SRSF9(-0.12),TARDBP(-0.11),ZC3H10(-0.1),ZC3H14(0.14)	0.1	0	Breast - Mammary Tissue	No
29992	CDKN2A	FXR2(0.21),G3BP2(0.23),HNRNPH1(-0.37),KHDRBS2(-0.09),PPRC1(-0.37),RBFOX1(0.08),RBM3(-0.29),RBM4(-0.29),RBM6(0.19),RBP1(-0.15),SRP54(0.23),SRSF7(0.46),YBX2(0.12),ZC3H14(-0.22)	0.82	-0.71	Breast - Mammary Tissue	Yes
27996	MZB1		-3.52	0	Breast - Mammary Tissue	Yes
27997	MZB1		-3.32	0	Breast - Mammary Tissue	Yes
27998	MZB1		-3.48	0	Breast - Mammary Tissue	Yes
25228	TP63		-2.84	0	Breast - Mammary Tissue	Yes
30132	CDH3	RBM38(0.98)	-3.37	0	Breast - Mammary Tissue	Yes
25230	TP63	FUS(0.33),HNRNPA1(-0.26),HNRNPA1L2(-0.34),HNRNPA2B1(0.44),HNRNPC(0.08),HNRNPH1(0.47),HNRNPU(0.69),MATR3(-0.63),MSI1(-0.27),PABPN1(-0.56),PCBP1(-0.3),PCBP2(0.39),PCBP3(-0.13),QKI(-0.43),RSF1(1.12),SRSF9(0.31),TARDBP(-0.42),TUT1(0.21),ZCRB1(0.26)	1.5	0	Breast - Mammary Tissue	Yes
30787	KLK7	CPO(-0.79),G3BP2(-1.19)	-2.6	0	Breast - Mammary Tissue	Yes
1384	PROM1	CPEB2(0.23),HNRNPA1(-0.35),KHDRBS1(0.37),RBM45(0.09)	1.87	0	Breast - Mammary Tissue	Yes
25231	TP63	A1CF(-0.55),RBM38(0.93)	-2.32	0	Breast - Mammary Tissue	Yes
2053	IGLL5	CPEB2(-0.5),G3BP2(-1.59),HNRNPA1L2(-1.89),KHDRBS2(0.29),KHDRBS3(-0.57),MSI1(-1.56),PABPC5(-0.59),PCBP3(-0.59),QKI(-0.85),RBFOX1(0.93),RBM41(-0.84),SAMD4A(0.62),SRSF2(-1.15),YBX1(0.87),YBX2(-0.45)	-0.72	2.45	Breast - Mammary Tissue	Yes
