ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
516	"ENSG00000139793.18"	"MBNL2"	chr13	+	97346803	97347067	97346803	97347003	97347040	97347067
517	"ENSG00000142920.16"	"AZIN2"	chr1	+	33082177	33083142	33082177	33082354	33083017	33083142
518	"ENSG00000142920.16"	"AZIN2"	chr1	+	33082177	33083142	33082177	33082354	33083062	33083142
519	"ENSG00000142920.16"	"AZIN2"	chr1	+	33117901	33120530	33117901	33118116	33120043	33120530
520	"ENSG00000116478.11"	"HDAC1"	chr1	+	32331675	32332242	32331675	32331806	32332089	32332242
521	"ENSG00000224843.6"	"LINC00240"	chr6	+	27023253	27023924	27023253	27023397	27023764	27023924
522	"ENSG00000224843.6"	"LINC00240"	chr6	+	27023253	27023924	27023253	27023397	27023749	27023924
523	"ENSG00000125656.8"	"CLPP"	chr19	+	6361868	6362542	6361868	6361940	6362445	6362542
524	"ENSG00000161243.8"	"FBXO27"	chr19	-	39031028	39031320	39031028	39031124	39031208	39031320
525	"ENSG00000113013.12"	"HSPA9"	chr5	-	138556773	138557496	138556773	138556866	138557401	138557496
526	"ENSG00000148604.13"	"RGR"	chr10	+	84247640	84249043	84247640	84247747	84248909	84249043
527	"ENSG00000124357.12"	"NAGK"	chr2	+	71072640	71073594	71072640	71072751	71072825	71073594
528	"ENSG00000124357.12"	"NAGK"	chr2	+	71075554	71076701	71075554	71075642	71076603	71076701
529	"ENSG00000124357.12"	"NAGK"	chr2	+	71075554	71076701	71075554	71075610	71076603	71076701
530	"ENSG00000124357.12"	"NAGK"	chr2	+	71072640	71073594	71072640	71072751	71073481	71073594
531	"ENSG00000124357.12"	"NAGK"	chr2	+	71068649	71070586	71068649	71068712	71070501	71070586
532	"ENSG00000164631.18"	"ZNF12"	chr7	-	6688432	6692703	6688432	6692487	6692601	6692703
533	"ENSG00000115221.10"	"ITGB6"	chr2	-	160200002	160200304	160200002	160200078	160200185	160200304
534	"ENSG00000076924.11"	"XAB2"	chr19	-	7625879	7626270	7625879	7626044	7626135	7626270
535	"ENSG00000076924.11"	"XAB2"	chr19	-	7620274	7620669	7620274	7620446	7620546	7620669
536	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49024494	49024802	49024494	49024578	49024658	49024802
537	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49026686	49027047	49026686	49026886	49026959	49027047
538	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49028430	49028806	49028430	49028532	49028757	49028806
539	"ENSG00000178035.11"	"IMPDH2"	chr3	-	49024324	49024802	49024324	49024404	49024494	49024802
540	"ENSG00000103037.11"	"SETD6"	chr16	+	58515790	58516097	58515790	58515880	58515952	58516097
541	"ENSG00000168811.6"	"IL12A"	chr3	+	159993450	159993609	159993450	159993492	159993567	159993609
542	"ENSG00000168404.12"	"MLKL"	chr16	-	74674959	74675404	74674959	74675100	74675354	74675404
543	"ENSG00000168404.12"	"MLKL"	chr16	-	74674959	74675404	74674959	74675100	74675323	74675404
544	"ENSG00000069399.13"	"BCL3"	chr19	+	44758245	44758841	44758245	44758473	44758723	44758841
545	"ENSG00000069399.13"	"BCL3"	chr19	+	44758245	44758841	44758245	44758413	44758723	44758841
546	"ENSG00000196305.17"	"IARS"	chr9	-	92210344	92210889	92210344	92210871	92210872	92210889
547	"ENSG00000085563.14"	"ABCB1"	chr7	-	87600754	87601078	87600754	87600825	87600972	87601078
548	"ENSG00000188660.3"	"LINC00319"	chr21	+	43451172	43453893	43451172	43452505	43453120	43453893
549	"ENSG00000180448.10"	"ARHGAP45"	chr19	+	1080254	1080547	1080254	1080379	1080463	1080547
550	"ENSG00000154920.14"	"EME1"	chr17	+	50375184	50375983	50375184	50375512	50375796	50375983
551	"ENSG00000105755.7"	"ETHE1"	chr19	-	43526200	43526659	43526200	43526349	43526514	43526659
552	"ENSG00000160602.13"	"NEK8"	chr17	+	28737305	28737736	28737305	28737514	28737674	28737736
553	"ENSG00000160602.13"	"NEK8"	chr17	+	28737305	28737736	28737305	28737579	28737655	28737736
554	"ENSG00000176783.14"	"RUFY1"	chr5	+	179559691	179560198	179559691	179559835	179560024	179560198
555	"ENSG00000132330.16"	"SCLY"	chr2	+	238091217	238094522	238091217	238091254	238094419	238094522
556	"ENSG00000183010.16"	"PYCR1"	chr17	-	81932383	81933376	81932383	81932963	81933306	81933376
557	"ENSG00000183010.16"	"PYCR1"	chr17	-	81936747	81937257	81936747	81936861	81937227	81937257
558	"ENSG00000015133.18"	"CCDC88C"	chr14	-	91271324	91273653	91271324	91273221	91273359	91273653
559	"ENSG00000111445.13"	"RFC5"	chr12	+	118017689	118018053	118017689	118017815	118017994	118018053
560	"ENSG00000111445.13"	"RFC5"	chr12	+	118017689	118018053	118017689	118017852	118017994	118018053
561	"ENSG00000145194.17"	"ECE2"	chr3	+	184291039	184291439	184291039	184291230	184291343	184291439
562	"ENSG00000135976.16"	"ANKRD36"	chr2	+	97249143	97249645	97249143	97249214	97249551	97249645
563	"ENSG00000114054.13"	"PCCB"	chr3	+	136326802	136327255	136326802	136326910	136327154	136327255
564	"ENSG00000181789.14"	"COPG1"	chr3	+	129252622	129252955	129252622	129252694	129252875	129252955
565	"ENSG00000101574.14"	"METTL4"	chr18	-	2552694	2555038	2552694	2552764	2554668	2555038
566	"ENSG00000182272.11"	"B4GALNT4"	chr11	+	375638	375956	375638	375773	375846	375956
567	"ENSG00000182220.14"	"ATP6AP2"	chrX	+	40599591	40600881	40599591	40599741	40600781	40600881
568	"ENSG00000182220.14"	"ATP6AP2"	chrX	+	40599591	40600881	40599591	40599741	40600768	40600881
569	"ENSG00000182220.14"	"ATP6AP2"	chrX	+	40599591	40600881	40599591	40599741	40600761	40600881
570	"ENSG00000083844.10"	"ZNF264"	chr19	+	57191500	57191946	57191500	57191527	57191698	57191946
571	"ENSG00000107147.12"	"KCNT1"	chr9	+	135757155	135757381	135757155	135757230	135757297	135757381
572	"ENSG00000094880.10"	"CDC23"	chr5	-	138191861	138192388	138191861	138191937	138192268	138192388
573	"ENSG00000105221.16"	"AKT2"	chr19	-	40235889	40236385	40235889	40236104	40236256	40236385
574	"ENSG00000105221.16"	"AKT2"	chr19	-	40236256	40238091	40236256	40236385	40237968	40238091
575	"ENSG00000143379.12"	"SETDB1"	chr1	+	150962973	150963741	150962973	150963139	150963529	150963741
576	"ENSG00000003436.14"	"TFPI"	chr2	-	187484123	187484987	187484123	187484216	187484810	187484987
577	"ENSG00000136485.14"	"DCAF7"	chr17	+	63588999	63594266	63588999	63589237	63594202	63594266
578	"ENSG00000130159.13"	"ECSIT"	chr19	-	11507701	11508048	11507701	11507729	11507990	11508048
579	"ENSG00000130159.13"	"ECSIT"	chr19	-	11507701	11508048	11507701	11507850	11507990	11508048
580	"ENSG00000108883.12"	"EFTUD2"	chr17	-	44859904	44860543	44859904	44860045	44860431	44860543
581	"ENSG00000108883.12"	"EFTUD2"	chr17	-	44853516	44854356	44853516	44853635	44854268	44854356
582	"ENSG00000139625.12"	"MAP3K12"	chr12	-	53486946	53487428	53486946	53487145	53487254	53487428
583	"ENSG00000139625.12"	"MAP3K12"	chr12	-	53486946	53487428	53486946	53487155	53487254	53487428
584	"ENSG00000139625.12"	"MAP3K12"	chr12	-	53484256	53485214	53484256	53484365	53485055	53485214
585	"ENSG00000141505.11"	"ASGR1"	chr17	-	7176980	7178588	7176980	7177076	7178493	7178588
586	"ENSG00000171747.8"	"LGALS4"	chr19	-	38812430	38812945	38812430	38812519	38812841	38812945
587	"ENSG00000171747.8"	"LGALS4"	chr19	-	38803521	38803895	38803521	38803551	38803868	38803895
588	"ENSG00000100284.20"	"TOM1"	chr22	+	35323495	35323630	35323495	35323621	35323622	35323630
589	"ENSG00000169607.12"	"CKAP2L"	chr2	-	112755976	112757214	112755976	112756134	112756892	112757214
590	"ENSG00000088986.10"	"DYNLL1"	chr12	+	120496112	120496553	120496112	120496216	120496415	120496553
591	"ENSG00000129197.14"	"RPAIN"	chr17	+	5425970	5428211	5425970	5426299	5428070	5428211
592	"ENSG00000129197.14"	"RPAIN"	chr17	+	5425970	5426299	5425970	5426082	5426235	5426299
593	"ENSG00000129197.14"	"RPAIN"	chr17	+	5425970	5428211	5425970	5426082	5428070	5428211
594	"ENSG00000100325.14"	"ASCC2"	chr22	-	29793359	29793676	29793359	29793490	29793576	29793676
595	"ENSG00000266200.6"	"PNLIPRP2"	chr10	+	116638368	116638480	116638368	116638370	116638373	116638480
596	"ENSG00000261408.5"	"TEN1-CDK3"	chr17	+	76002510	76003398	76002510	76002612	76003194	76003398
597	"ENSG00000275464.4"	"CH507-9B2.5"	chr21	-	5135934	5137474	5135934	5136043	5137326	5137474
598	"ENSG00000275464.4"	"CH507-9B2.5"	chr21	-	5139697	5141103	5139697	5139878	5140952	5141103
599	"ENSG00000173338.12"	"KCNK7"	chr11	-	65592854	65593874	65592854	65593210	65593475	65593874
600	"ENSG00000173338.12"	"KCNK7"	chr11	-	65592854	65593874	65592854	65593383	65593475	65593874
601	"ENSG00000173338.12"	"KCNK7"	chr11	-	65592854	65593383	65592854	65593210	65593309	65593383
602	"ENSG00000172995.16"	"ARPP21"	chr3	+	35683725	35685887	35683725	35683815	35684020	35685887
603	"ENSG00000221838.9"	"AP4M1"	chr7	+	100101879	100102393	100101879	100101968	100102245	100102393
604	"ENSG00000090857.13"	"PDPR"	chr16	+	70128783	70129122	70128783	70128865	70128958	70129122
605	"ENSG00000168542.13"	"COL3A1"	chr2	+	189010177	189010890	189010177	189010365	189010647	189010890
606	"ENSG00000197121.14"	"PGAP1"	chr2	-	196847002	196848037	196847002	196847200	196847946	196848037
607	"ENSG00000179335.18"	"CLK3"	chr15	+	74620008	74622216	74620008	74620225	74622119	74622216
608	"ENSG00000179335.18"	"CLK3"	chr15	+	74622119	74622560	74622119	74622216	74622493	74622560
609	"ENSG00000137221.14"	"TJAP1"	chr6	+	43503622	43506553	43503622	43503706	43504760	43506553
610	"ENSG00000137221.14"	"TJAP1"	chr6	+	43500743	43501687	43500743	43500772	43501525	43501687
611	"ENSG00000137221.14"	"TJAP1"	chr6	+	43504760	43506553	43504760	43505660	43506448	43506553
612	"ENSG00000137221.14"	"TJAP1"	chr6	+	43502587	43503508	43502587	43502617	43503400	43503508
613	"ENSG00000149577.15"	"SIDT2"	chr11	+	117189334	117190025	117189334	117189401	117189951	117190025
614	"ENSG00000161013.16"	"MGAT4B"	chr5	-	179801333	179801694	179801333	179801467	179801553	179801694
615	"ENSG00000161013.16"	"MGAT4B"	chr5	-	179799505	179800068	179799505	179799636	179799953	179800068
616	"ENSG00000115556.13"	"PLCD4"	chr2	+	218628028	218629663	218628028	218628230	218629518	218629663
617	"ENSG00000115556.13"	"PLCD4"	chr2	+	218636470	218637181	218636470	218636578	218636918	218637181
618	"ENSG00000115556.13"	"PLCD4"	chr2	+	218636470	218637173	218636470	218636578	218636859	218637173
619	"ENSG00000115556.13"	"PLCD4"	chr2	+	218633604	218634221	218633604	218633761	218634104	218634221
620	"ENSG00000100241.20"	"SBF1"	chr22	-	50447321	50447609	50447321	50447453	50447521	50447609
621	"ENSG00000100241.20"	"SBF1"	chr22	-	50467531	50467923	50467531	50467693	50467785	50467923
622	"ENSG00000100241.20"	"SBF1"	chr22	-	50467531	50467923	50467531	50467690	50467785	50467923
623	"ENSG00000100288.19"	"CHKB"	chr22	-	50580189	50580416	50580189	50580271	50580357	50580416
624	"ENSG00000100288.19"	"CHKB"	chr22	-	50581748	50582357	50581748	50581862	50582248	50582357
625	"ENSG00000177225.16"	"PDDC1"	chr11	-	767224	770903	767224	770398	770678	770903
626	"ENSG00000125351.11"	"UPF3B"	chrX	-	119837756	119837932	119837756	119837916	119837920	119837932
627	"ENSG00000214595.11"	"EML6"	chr2	+	54866765	54869367	54866765	54866884	54869180	54869367
628	"ENSG00000144635.8"	"DYNC1LI1"	chr3	-	32570345	32570858	32570345	32570419	32570624	32570858
629	"ENSG00000010270.13"	"STARD3NL"	chr7	+	38215027	38217305	38215027	38215105	38217187	38217305
630	"ENSG00000058453.16"	"CROCC"	chr1	+	16953301	16954357	16953301	16953481	16954222	16954357
631	"ENSG00000100968.13"	"NFATC4"	chr14	+	24373694	24374466	24373694	24373867	24374325	24374466
632	"ENSG00000100968.13"	"NFATC4"	chr14	+	24376293	24378001	24376293	24376878	24377637	24378001
633	"ENSG00000100968.13"	"NFATC4"	chr14	+	24369152	24370594	24369152	24369376	24369498	24370594
634	"ENSG00000054148.17"	"PHPT1"	chr9	+	136850012	136850560	136850012	136850137	136850502	136850560
635	"ENSG00000054148.17"	"PHPT1"	chr9	+	136850012	136850560	136850012	136850137	136850505	136850560
636	"ENSG00000164088.17"	"PPM1M"	chr3	+	52249173	52250595	52249173	52249322	52249669	52250595
637	"ENSG00000164088.17"	"PPM1M"	chr3	+	52248152	52248453	52248152	52248237	52248334	52248453
638	"ENSG00000143303.11"	"RRNAD1"	chr1	+	156731990	156732473	156731990	156732115	156732280	156732473
639	"ENSG00000172602.9"	"RND1"	chr12	-	48857144	48858241	48857144	48857314	48857994	48858241
640	"ENSG00000183914.14"	"DNAH2"	chr17	+	7786123	7786687	7786123	7786342	7786569	7786687
641	"ENSG00000183914.14"	"DNAH2"	chr17	+	7770556	7770933	7770556	7770639	7770752	7770933
642	"ENSG00000116353.15"	"MECR"	chr1	-	29195940	29196258	29195940	29196042	29196197	29196258
643	"ENSG00000116353.15"	"MECR"	chr1	-	29195940	29196258	29195940	29196013	29196197	29196258
644	"ENSG00000034677.12"	"RNF19A"	chr8	-	100287906	100288267	100287906	100288091	100288206	100288267
645	"ENSG00000132463.13"	"GRSF1"	chr4	-	70825295	70826245	70825295	70825431	70826123	70826245
646	"ENSG00000206503.11"	"HLA-A"	chr6	+	29944499	29945091	29944499	29944634	29945058	29945091
647	"ENSG00000206503.11"	"HLA-A"	chr6	+	29944499	29945091	29944499	29944616	29945058	29945091
648	"ENSG00000206503.11"	"HLA-A"	chr6	+	29942756	29943543	29942756	29943026	29943267	29943543
649	"ENSG00000206503.11"	"HLA-A"	chr6	+	29944499	29945091	29944499	29944616	29945062	29945091
650	"ENSG00000206503.11"	"HLA-A"	chr6	+	29942756	29943543	29942756	29942854	29943284	29943543
651	"ENSG00000166949.15"	"SMAD3"	chr15	+	67166530	67166853	67166530	67166691	67166778	67166853
652	"ENSG00000241106.6"	"HLA-DOB"	chr6	-	32813722	32814601	32813722	32813833	32814319	32814601
653	"ENSG00000178645.12"	"C10orf53"	chr10	+	49708360	49710261	49708360	49709966	49710006	49710261
654	"ENSG00000086696.10"	"HSD17B2"	chr16	+	82090901	82098534	82090901	82091039	82098074	82098534
655	"ENSG00000112139.14"	"MDGA1"	chr6	-	37654799	37655896	37654799	37654932	37655699	37655896
656	"ENSG00000110680.12"	"CALCA"	chr11	-	14967673	14968997	14967673	14967854	14968825	14968997
657	"ENSG00000173113.6"	"TRMT112"	chr11	-	64316690	64317147	64316690	64316968	64317057	64317147
658	"ENSG00000185920.15"	"PTCH1"	chr9	-	95443411	95447451	95443411	95446391	95446910	95447451
659	"ENSG00000185920.15"	"PTCH1"	chr9	-	95449840	95453620	95449840	95449940	95453477	95453620
660	"ENSG00000172508.10"	"CARNS1"	chr11	+	67416175	67417677	67416175	67416202	67417406	67417677
661	"ENSG00000172508.10"	"CARNS1"	chr11	+	67420608	67420840	67420608	67420677	67420755	67420840
662	"ENSG00000167792.11"	"NDUFV1"	chr11	+	67608399	67608722	67608399	67608478	67608551	67608722
663	"ENSG00000167792.11"	"NDUFV1"	chr11	+	67608399	67608722	67608399	67608478	67608559	67608722
664	"ENSG00000167792.11"	"NDUFV1"	chr11	+	67606957	67607324	67606957	67607076	67607298	67607324
665	"ENSG00000167792.11"	"NDUFV1"	chr11	+	67610380	67611207	67610380	67610570	67610994	67611207
666	"ENSG00000160781.15"	"PAQR6"	chr1	-	156245781	156246250	156245781	156245987	156246122	156246250
667	"ENSG00000102854.15"	"MSLN"	chr16	+	768378	768865	768378	768565	768647	768865
668	"ENSG00000008311.14"	"AASS"	chr7	-	122078861	122079712	122078861	122078950	122079596	122079712
669	"ENSG00000140995.16"	"DEF8"	chr16	+	89964220	89964575	89964220	89964310	89964465	89964575
670	"ENSG00000067445.20"	"TRO"	chrX	+	54926582	54927105	54926582	54926625	54927042	54927105
671	"ENSG00000067445.20"	"TRO"	chrX	+	54928602	54931031	54928602	54928710	54930740	54931031
672	"ENSG00000067445.20"	"TRO"	chrX	+	54928602	54928710	54928602	54928668	54928669	54928710
673	"ENSG00000135452.9"	"TSPAN31"	chr12	+	57746175	57746720	57746175	57746256	57746592	57746720
674	"ENSG00000135452.9"	"TSPAN31"	chr12	+	57746175	57746720	57746175	57746256	57746588	57746720
675	"ENSG00000185686.17"	"PRAME"	chr22	-	22556811	22557580	22556811	22556909	22557544	22557580
676	"ENSG00000185686.17"	"PRAME"	chr22	-	22556811	22557580	22556811	22556930	22557544	22557580
677	"ENSG00000185686.17"	"PRAME"	chr22	-	22556811	22557580	22556811	22556977	22557544	22557580
678	"ENSG00000185686.17"	"PRAME"	chr22	-	22556811	22557580	22556811	22557086	22557544	22557580
679	"ENSG00000180304.14"	"OAZ2"	chr15	-	64691433	64691591	64691433	64691514	64691515	64691591
680	"ENSG00000183305.13"	"MAGEA2B"	chrX	+	152714846	152715157	152714846	152714928	152715078	152715157
681	"ENSG00000119866.20"	"BCL11A"	chr2	-	60460681	60462424	60460681	60461744	60462281	60462424
682	"ENSG00000173757.9"	"STAT5B"	chr17	-	42210170	42210497	42210170	42210301	42210402	42210497
683	"ENSG00000064961.18"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574382	3574586
684	"ENSG00000064961.18"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574369	3574586
685	"ENSG00000064961.18"	"HMG20B"	chr19	+	3572978	3573347	3572978	3572994	3573291	3573347
686	"ENSG00000064961.18"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574340	3574586
687	"ENSG00000064961.18"	"HMG20B"	chr19	+	3576260	3576625	3576260	3576307	3576552	3576625
688	"ENSG00000143224.17"	"PPOX"	chr1	+	161167099	161167486	161167099	161167234	161167370	161167486
689	"ENSG00000143224.17"	"PPOX"	chr1	+	161167099	161167486	161167099	161167234	161167338	161167486
690	"ENSG00000143224.17"	"PPOX"	chr1	+	161170906	161171218	161170906	161170949	161171033	161171218
691	"ENSG00000211448.11"	"DIO2"	chr14	-	80206230	80206338	80206230	80206290	80206293	80206338
692	"ENSG00000182165.17"	"TP53TG1"	chr7	-	87345042	87345515	87345042	87345233	87345304	87345515
693	"ENSG00000156414.18"	"TDRD9"	chr14	+	104032016	104032087	104032016	104032052	104032053	104032087
694	"ENSG00000116809.11"	"ZBTB17"	chr1	-	15943598	15943895	15943598	15943715	15943807	15943895
695	"ENSG00000180043.11"	"FAM71E2"	chr19	-	55360692	55360905	55360692	55360769	55360852	55360905
696	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1312225	1312501	1312225	1312368	1312439	1312501
697	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1312225	1312700	1312225	1312368	1312592	1312700
698	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1320455	1321093	1320455	1320682	1320995	1321093
699	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1312592	1313124	1312592	1312949	1313034	1313124
700	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1320455	1321093	1320455	1320529	1320995	1321093
701	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1312225	1312700	1312225	1312501	1312592	1312700
702	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1312592	1312949	1312592	1312700	1312786	1312949
703	"ENSG00000127054.19"	"CPSF3L"	chr1	-	1313034	1313592	1313034	1313124	1313508	1313592
704	"ENSG00000008128.22"	"CDK11A"	chr1	-	1722587	1722831	1722587	1722634	1722707	1722831
705	"ENSG00000008128.22"	"CDK11A"	chr1	-	1703475	1703940	1703475	1703624	1703823	1703940
706	"ENSG00000008128.22"	"CDK11A"	chr1	-	1704038	1704344	1704038	1704146	1704222	1704344
707	"ENSG00000008128.22"	"CDK11A"	chr1	-	1704222	1704655	1704222	1704344	1704549	1704655
708	"ENSG00000196712.16"	"NF1"	chr17	+	31229024	31229974	31229024	31229465	31229834	31229974
709	"ENSG00000232913.7"	"PLCE1-AS2"	chr10	-	94105574	94106159	94105574	94105659	94106020	94106159
710	"ENSG00000088970.15"	"KIZ"	chr20	+	21244244	21246622	21244244	21244288	21246478	21246622
711	"ENSG00000169715.14"	"MT1E"	chr16	+	56626465	56627112	56626465	56626531	56626879	56627112
712	"ENSG00000188603.17"	"CLN3"	chr16	-	28482326	28482672	28482326	28482382	28482607	28482672
713	"ENSG00000188603.17"	"CLN3"	chr16	-	28482104	28482545	28482104	28482382	28482476	28482545
714	"ENSG00000188603.17"	"CLN3"	chr16	-	28482104	28482545	28482104	28482198	28482326	28482545
715	"ENSG00000188603.17"	"CLN3"	chr16	-	28482326	28482672	28482326	28482545	28482625	28482672
716	"ENSG00000188603.17"	"CLN3"	chr16	-	28486577	28487541	28486577	28486650	28487455	28487541
717	"ENSG00000188603.17"	"CLN3"	chr16	-	28487455	28488662	28487455	28487541	28488590	28488662
718	"ENSG00000188603.17"	"CLN3"	chr16	-	28491713	28492042	28491713	28491835	28492019	28492042
719	"ENSG00000188603.17"	"CLN3"	chr16	-	28491481	28491835	28491481	28491560	28491713	28491835
720	"ENSG00000188603.17"	"CLN3"	chr16	-	28477278	28477635	28477278	28477359	28477463	28477635
721	"ENSG00000130724.8"	"CHMP2A"	chr19	-	58551565	58551967	58551565	58551776	58551905	58551967
722	"ENSG00000104970.10"	"KIR3DX1"	chr19	+	54532691	54533078	54532691	54532831	54533042	54533078
723	"ENSG00000113811.10"	"SELK"	chr3	-	53885825	53885912	53885825	53885830	53885833	53885912
724	"ENSG00000143258.15"	"USP21"	chr1	+	161164533	161164942	161164533	161164612	161164834	161164942
725	"ENSG00000104714.13"	"ERICH1"	chr8	-	625674	627238	625674	625968	627002	627238
726	"ENSG00000172345.13"	"STARD5"	chr15	-	81322407	81324141	81322407	81322540	81323801	81324141
727	"ENSG00000075336.11"	"TIMM21"	chr18	+	74155144	74155403	74155144	74155207	74155305	74155403
728	"ENSG00000137504.13"	"CREBZF"	chr11	-	85663523	85665102	85663523	85663601	85663814	85665102
729	"ENSG00000137504.13"	"CREBZF"	chr11	-	85660334	85661749	85660334	85660597	85661636	85661749
730	"ENSG00000156345.17"	"CDK20"	chr9	-	87969193	87970897	87969193	87969349	87970775	87970897
731	"ENSG00000156345.17"	"CDK20"	chr9	-	87970567	87970897	87970567	87970630	87970775	87970897
732	"ENSG00000251022.6"	"THAP9-AS1"	chr4	-	82900076	82900566	82900076	82900223	82900333	82900566
733	"ENSG00000185340.15"	"GAS2L1"	chr22	+	29307057	29308738	29307057	29307186	29308086	29308738
734	"ENSG00000134539.16"	"KLRD1"	chr12	+	10307977	10309688	10307977	10308084	10309625	10309688
735	"ENSG00000261832.6"	"RP11-435I10.4"	chr16	-	28477011	28477635	28477011	28477128	28477463	28477635
736	"ENSG00000261832.6"	"RP11-435I10.4"	chr16	-	28458385	28458591	28458385	28458421	28458530	28458591
737	"ENSG00000182087.12"	"TMEM259"	chr19	-	1012065	1012573	1012065	1012188	1012462	1012573
738	"ENSG00000182087.12"	"TMEM259"	chr19	-	1011579	1011798	1011579	1011663	1011740	1011798
739	"ENSG00000182087.12"	"TMEM259"	chr19	-	1011579	1011798	1011579	1011612	1011740	1011798
740	"ENSG00000182087.12"	"TMEM259"	chr19	-	1011095	1011499	1011095	1011195	1011366	1011499
741	"ENSG00000182087.12"	"TMEM259"	chr19	-	1011366	1011612	1011366	1011499	1011579	1011612
742	"ENSG00000136279.19"	"DBNL"	chr7	+	44058431	44058983	44058431	44058480	44058901	44058983
743	"ENSG00000136279.19"	"DBNL"	chr7	+	44057781	44058280	44057781	44057859	44058128	44058280
744	"ENSG00000112592.13"	"TBP"	chr6	+	170561790	170562233	170561790	170561910	170562063	170562233
745	"ENSG00000154743.17"	"TSEN2"	chr3	+	12503261	12503784	12503261	12503469	12503646	12503784
746	"ENSG00000154743.17"	"TSEN2"	chr3	+	12529761	12531659	12529761	12529873	12531569	12531659
747	"ENSG00000117281.15"	"CD160"	chr1	+	145735996	145739153	145735996	145736134	145738485	145739153
748	"ENSG00000111667.13"	"USP5"	chr12	+	6863829	6864195	6863829	6863973	6864049	6864195
749	"ENSG00000244045.11"	"TMEM199"	chr17	+	28360528	28360847	28360528	28360576	28360734	28360847
750	"ENSG00000244045.11"	"TMEM199"	chr17	+	28360528	28360847	28360528	28360571	28360734	28360847
751	"ENSG00000067596.10"	"DHX8"	chr17	+	43517166	43520267	43517166	43517322	43520129	43520267
752	"ENSG00000230615.6"	"RP5-1198O20.4"	chr1	+	44050949	44051494	44050949	44051158	44051289	44051494
753	"ENSG00000183506.16"	"PI4KAP2"	chr22	-	21475210	21476764	21475210	21475300	21476001	21476764
754	"ENSG00000183506.16"	"PI4KAP2"	chr22	-	21477996	21478694	21477996	21478101	21478584	21478694
755	"ENSG00000183506.16"	"PI4KAP2"	chr22	-	21477996	21478694	21477996	21478161	21478584	21478694
756	"ENSG00000012817.15"	"KDM5D"	chrY	-	19706440	19706863	19706440	19706640	19706793	19706863
757	"ENSG00000110583.12"	"NAA40"	chr11	+	63945839	63947003	63945839	63945935	63946950	63947003
758	"ENSG00000110583.12"	"NAA40"	chr11	+	63945839	63947003	63945839	63945935	63946724	63947003
759	"ENSG00000115414.18"	"FN1"	chr2	-	215384019	215384976	215384019	215384184	215384859	215384976
760	"ENSG00000115414.18"	"FN1"	chr2	-	215371908	215372300	215371908	215372015	215372108	215372300
761	"ENSG00000115414.18"	"FN1"	chr2	-	215379129	215382325	215379129	215379317	215382211	215382325
762	"ENSG00000212694.8"	"LINC01089"	chr12	-	121795266	121796242	121795266	121795726	121796190	121796242
763	"ENSG00000160058.18"	"BSDC1"	chr1	-	32394079	32394425	32394079	32394140	32394403	32394425
764	"ENSG00000172367.15"	"PDZD3"	chr11	+	119186091	119186690	119186091	119186165	119186478	119186690
765	"ENSG00000172367.15"	"PDZD3"	chr11	+	119185474	119185952	119185474	119185510	119185924	119185952
766	"ENSG00000172367.15"	"PDZD3"	chr11	+	119186091	119186690	119186091	119186241	119186478	119186690
767	"ENSG00000172367.15"	"PDZD3"	chr11	+	119185474	119185952	119185474	119185510	119185921	119185952
768	"ENSG00000172367.15"	"PDZD3"	chr11	+	119185474	119185952	119185474	119185510	119185848	119185952
769	"ENSG00000172367.15"	"PDZD3"	chr11	+	119188639	119189205	119188639	119188867	119189004	119189205
770	"ENSG00000172367.15"	"PDZD3"	chr11	+	119187939	119188551	119187939	119188144	119188354	119188551
771	"ENSG00000197102.10"	"DYNC1H1"	chr14	+	102049439	102049882	102049439	102049582	102049713	102049882
772	"ENSG00000170606.13"	"HSPA4"	chr5	+	133101758	133101878	133101758	133101809	133101810	133101878
773	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171538	129171078	129171283	129171445	129171538
774	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171538	129171078	129171277	129171445	129171538
775	"ENSG00000169714.16"	"CNBP"	chr3	-	129171078	129171538	129171078	129171280	129171445	129171538
776	"ENSG00000161381.13"	"PLXDC1"	chr17	-	39079103	39079528	39079103	39079164	39079501	39079528
777	"ENSG00000090316.15"	"MAEA"	chr4	+	1336860	1338617	1336860	1336994	1338425	1338617
778	"ENSG00000090316.15"	"MAEA"	chr4	+	1336860	1338617	1336860	1336994	1338421	1338617
