ENSG_ver	ENSG_no_ver	GeneSymbol	chr
9886	ENSG00000224796.1	ENSG00000224796	RPL32P1	chr6
9887	ENSG00000212497.1	ENSG00000212497	RNA5SP465	chr19
9888	ENSG00000228133.2	ENSG00000228133	AC099684.1	chr17
9889	ENSG00000275038.1	ENSG00000275038	AC091980.2	chr5
9890	ENSG00000230434.1	ENSG00000230434	LINC01650	chr1
9891	ENSG00000230216.1	ENSG00000230216	HSPB1P2	chrX
9892	ENSG00000276200.1	ENSG00000276200	RN7SL820P	chr2
9893	ENSG00000234187.1	ENSG00000234187	AIMP1P1	chr20
9894	ENSG00000250137.1	ENSG00000250137	AC093607.1	chr4
9895	ENSG00000274326.1	ENSG00000274326	AL359314.1	chr9
9896	ENSG00000269903.1	ENSG00000269903	AC025165.4	chr12
9897	ENSG00000198356.11	ENSG00000198356	ASNA1	chr19
9898	ENSG00000145642.11	ENSG00000145642	SHISAL2B	chr5
9899	ENSG00000255470.1	ENSG00000255470	AC090099.4	chr11
9900	ENSG00000249981.1	ENSG00000249981	AC145141.1	chr5
9901	ENSG00000187626.8	ENSG00000187626	ZKSCAN4	chr6
9902	ENSG00000205786.8	ENSG00000205786	LINC01531	chr19
9903	ENSG00000169896.16	ENSG00000169896	ITGAM	chr16
9904	ENSG00000232608.1	ENSG00000232608	TIMM9P2	chr21
9905	ENSG00000144227.4	ENSG00000144227	NXPH2	chr2
9906	ENSG00000272167.2	ENSG00000272167	AL606537.1	chr1
9907	ENSG00000240571.1	ENSG00000240571	AC087071.2	chr7
9908	ENSG00000181481.13	ENSG00000181481	RNF135	chr17
9909	ENSG00000174013.7	ENSG00000174013	FBXO45	chr3
9910	ENSG00000215498.8	ENSG00000215498	FAM230B	chr22
9911	ENSG00000168438.14	ENSG00000168438	CDC40	chr6
9912	ENSG00000117507.6	ENSG00000117507	FMO6P	chr1
9913	ENSG00000224848.1	ENSG00000224848	AL589843.1	chr9
9914	ENSG00000234107.1	ENSG00000234107	TPT1P1	chr21
9915	ENSG00000124593.15	ENSG00000124593	AL365205.1	chr6
9916	ENSG00000253235.1	ENSG00000253235	AC111149.1	chr8
9917	ENSG00000278709.1	ENSG00000278709	NKILA	chr20
9918	ENSG00000203908.3	ENSG00000203908	KHDC3L	chr6
9919	ENSG00000168952.15	ENSG00000168952	STXBP6	chr14
9920	ENSG00000244018.1	ENSG00000244018	RPL35P6	chr8
9921	ENSG00000224523.1	ENSG00000224523	AL445213.1	chrX
9922	ENSG00000010017.12	ENSG00000010017	RANBP9	chr6
9923	ENSG00000271553.1	ENSG00000271553	AC018638.7	chr7
9924	ENSG00000155629.14	ENSG00000155629	PIK3AP1	chr10
9925	ENSG00000275144.1	ENSG00000275144	SNX18P5	chr9
9926	ENSG00000257941.1	ENSG00000257941	AC011611.5	chr12
9927	ENSG00000272981.1	ENSG00000272981	NA	NA
9928	ENSG00000250983.1	ENSG00000250983	AC022296.2	chr3
9929	ENSG00000236442.1	ENSG00000236442	ANKRD54P1	chr10
9930	ENSG00000277987.1	ENSG00000277987	LINC02351	chr15
9931	ENSG00000231929.2	ENSG00000231929	HMGB3P31	chrX
9932	ENSG00000234405.1	ENSG00000234405	Z69733.1	chrX
9933	ENSG00000163468.14	ENSG00000163468	CCT3	chr1
9934	ENSG00000268603.1	ENSG00000268603	AC053503.5	chr2
9935	ENSG00000275743.1	ENSG00000275743	TRBV14	chr7
9936	ENSG00000236241.1	ENSG00000236241	AC119744.1	chr3
9937	ENSG00000251575.2	ENSG00000251575	C5orf64-AS1	chr5
9938	ENSG00000226653.2	ENSG00000226653	OR13Z1P	chr1
9939	ENSG00000247626.4	ENSG00000247626	MARS2	chr2
9940	ENSG00000233437.1	ENSG00000233437	AC118758.1	chr7
9941	ENSG00000100359.20	ENSG00000100359	SGSM3	chr22
9942	ENSG00000227817.4	ENSG00000227817	ARHGAP42P1	chr2
9943	ENSG00000231563.1	ENSG00000231563	AL670729.1	chr1
9944	ENSG00000234465.10	ENSG00000234465	PINLYP	chr19
9945	ENSG00000231441.1	ENSG00000231441	AL512422.1	chr6
9946	ENSG00000257548.1	ENSG00000257548	AC078929.1	chr12
9947	ENSG00000105193.8	ENSG00000105193	RPS16	chr19
9948	ENSG00000262294.1	ENSG00000262294	AC129507.2	chr17
9949	ENSG00000250579.1	ENSG00000250579	AC022424.1	chr5
9950	ENSG00000255369.1	ENSG00000255369	AP000920.1	chr11
9951	ENSG00000263674.1	ENSG00000263674	AC026620.1	chr17
9952	ENSG00000236354.1	ENSG00000236354	LINC00437	chr13
9953	ENSG00000227722.2	ENSG00000227722	AL022100.1	chr1
9954	ENSG00000226919.1	ENSG00000226919	AL365184.1	chr1
9955	ENSG00000279311.1	ENSG00000279311	AC092999.1	chr3
9956	ENSG00000257308.1	ENSG00000257308	AC090017.1	chr12
9957	ENSG00000277697.1	ENSG00000277697	AL591441.2	chr9
9958	ENSG00000280707.2	ENSG00000280707	AL353747.4	chr6
9959	ENSG00000241829.1	ENSG00000241829	RPL21P54	chr5
9960	ENSG00000237661.1	ENSG00000237661	AC092474.2	chrX
9961	ENSG00000255171.5	ENSG00000255171	LINC01499	chr11
9962	ENSG00000237027.1	ENSG00000237027	AL159174.1	chr6
9963	ENSG00000229511.1	ENSG00000229511	GAS2L1P1	chr9
9964	ENSG00000121270.15	ENSG00000121270	ABCC11	chr16
9965	ENSG00000237937.5	ENSG00000237937	AP000770.1	chr11
9966	ENSG00000267591.1	ENSG00000267591	AC105224.1	chr18
9967	ENSG00000283001.1	ENSG00000283001	AL450426.1	chr9
9968	ENSG00000204279.7	ENSG00000204279	PAGE3	chrX
9969	ENSG00000125149.11	ENSG00000125149	C16orf70	chr16
9970	ENSG00000251002.7	ENSG00000251002	AC244502.1	chr14
9971	ENSG00000248988.1	ENSG00000248988	AC093700.1	chr4
9972	ENSG00000226702.1	ENSG00000226702	MIR217HG	chr2
9973	ENSG00000238160.1	ENSG00000238160	AC116366.2	chr5
9974	ENSG00000187012.10	ENSG00000187012	LINC00207	chr22
9975	ENSG00000133961.19	ENSG00000133961	NUMB	chr14
9976	ENSG00000250583.1	ENSG00000250583	AC034232.2	chr5
9977	ENSG00000254245.2	ENSG00000254245	PCDHGA3	chr5
9978	ENSG00000272702.1	ENSG00000272702	AC010913.1	chr2
9979	ENSG00000131746.12	ENSG00000131746	TNS4	chr17
9980	ENSG00000225146.1	ENSG00000225146	AC073957.1	chr7
9981	ENSG00000242562.1	ENSG00000242562	DCAF13P1	chr7
9982	ENSG00000222448.1	ENSG00000222448	RN7SKP150	chr5
9983	ENSG00000267533.1	ENSG00000267533	AP002414.4	chr18
9984	ENSG00000225400.1	ENSG00000225400	RAB28P5	chrX
9985	ENSG00000170590.9	ENSG00000170590	NA	NA
9986	ENSG00000249521.1	ENSG00000249521	LINC02114	chr5
9987	ENSG00000243518.1	ENSG00000243518	AC108729.2	chr3
9988	ENSG00000249731.1	ENSG00000249731	AC126768.3	chr5
9989	ENSG00000258433.1	ENSG00000258433	AC087633.1	chr15
9990	ENSG00000225903.1	ENSG00000225903	AL035404.2	chr1
9991	ENSG00000141753.6	ENSG00000141753	IGFBP4	chr17
9992	ENSG00000170385.9	ENSG00000170385	SLC30A1	chr1
9993	ENSG00000238284.1	ENSG00000238284	LINC01448	chr7
9994	ENSG00000253188.1	ENSG00000253188	TRBV6-7	chr7
9995	ENSG00000196944.3	ENSG00000196944	OR2T4	chr1
9996	ENSG00000261020.1	ENSG00000261020	AC132825.3	chr17
9997	ENSG00000173166.17	ENSG00000173166	RAPH1	chr2
9998	ENSG00000050438.16	ENSG00000050438	SLC4A8	chr12
9999	ENSG00000229375.1	ENSG00000229375	USP24P1	chr13
10000	ENSG00000224203.2	ENSG00000224203	RPS23P10	chr1
10001	ENSG00000213167.3	ENSG00000213167	RF00017	chr7
10002	ENSG00000200376.1	ENSG00000200376	RNU5E-10P	chr11
10003	ENSG00000109736.14	ENSG00000109736	MFSD10	chr4
10004	ENSG00000236166.1	ENSG00000236166	AL021408.1	chr6
10005	ENSG00000139178.10	ENSG00000139178	C1RL	chr12
10006	ENSG00000158850.14	ENSG00000158850	B4GALT3	chr1
10007	ENSG00000228573.1	ENSG00000228573	AL138962.1	chr13
10008	ENSG00000253703.2	ENSG00000253703	IGHV1-68	chr14
10009	ENSG00000185187.12	ENSG00000185187	SIGIRR	chr11
10010	ENSG00000104388.14	ENSG00000104388	RAB2A	chr8
10011	ENSG00000244073.1	ENSG00000244073	RPS4XP6	chr5
10012	ENSG00000132207.17	ENSG00000132207	SLX1A	chr16
10013	ENSG00000229728.1	ENSG00000229728	AL136531.1	chr20
10014	ENSG00000157557.11	ENSG00000157557	ETS2	chr21
10015	ENSG00000123009.4	ENSG00000123009	NME2P1	chr12
10016	ENSG00000253679.1	ENSG00000253679	AP001330.2	chr8
10017	ENSG00000225308.2	ENSG00000225308	ASS1P11	chr7
10018	ENSG00000105374.9	ENSG00000105374	NKG7	chr19
10019	ENSG00000237396.1	ENSG00000237396	LNCNEF	chr20
10020	ENSG00000266002.1	ENSG00000266002	AC091059.1	chr17
10021	ENSG00000221994.10	ENSG00000221994	ZNF630	chrX
10022	ENSG00000279349.1	ENSG00000279349	AC092692.1	chr3
10023	ENSG00000179023.8	ENSG00000179023	KLHDC7A	chr1
10024	ENSG00000169857.7	ENSG00000169857	AVEN	chr15
10025	ENSG00000274471.1	ENSG00000274471	AC242376.2	chr15
10026	ENSG00000114978.17	ENSG00000114978	MOB1A	chr2
10027	ENSG00000276095.2	ENSG00000276095	FAM230F	chr22
10028	ENSG00000205336.11	ENSG00000205336	ADGRG1	chr16
10029	ENSG00000254670.1	ENSG00000254670	AC084859.1	chr11
10030	ENSG00000283023.1	ENSG00000283023	FRG1GP	chr22
10031	ENSG00000225582.1	ENSG00000225582	AC011193.1	chr17
10032	ENSG00000224582.5	ENSG00000224582	LINC01015	chr6
10033	ENSG00000251568.1	ENSG00000251568	ALG3P1	chr5
10034	ENSG00000250668.1	ENSG00000250668	LINC02123	chr5
10035	ENSG00000259396.1	ENSG00000259396	AC087721.1	chr15
10036	ENSG00000164754.14	ENSG00000164754	RAD21	chr8
10037	ENSG00000282897.1	ENSG00000282897	AL162727.3	chr9
10038	ENSG00000243574.1	ENSG00000243574	AC006148.2	chr7
10039	ENSG00000275476.1	ENSG00000275476	AC009318.4	chr12
10040	ENSG00000274303.1	ENSG00000274303	RF00100	chr11
10041	ENSG00000141034.9	ENSG00000141034	GID4	chr17
10042	ENSG00000256172.1	ENSG00000256172	LINC02420	chr12
10043	ENSG00000271584.2	ENSG00000271584	LINC02550	chr11
10044	ENSG00000212242.1	ENSG00000212242	RNA5SP219	chr6
10045	ENSG00000255511.1	ENSG00000255511	AC023078.6	chr11
10046	ENSG00000253671.1	ENSG00000253671	AC027117.1	chr8
10047	ENSG00000104872.10	ENSG00000104872	PIH1D1	chr19
10048	ENSG00000241098.1	ENSG00000241098	LINC01994	chr3
10049	ENSG00000236485.1	ENSG00000236485	LINC01945	chr2
10050	ENSG00000026652.13	ENSG00000026652	AGPAT4	chr6
10051	ENSG00000108468.14	ENSG00000108468	CBX1	chr17
10052	ENSG00000243641.3	ENSG00000243641	OR13C7	chr9
10053	ENSG00000153404.14	ENSG00000153404	PLEKHG4B	chr5
10054	ENSG00000145494.11	ENSG00000145494	NDUFS6	chr5
10055	ENSG00000258626.2	ENSG00000258626	COX7A2P1	chr14
10056	ENSG00000279910.1	ENSG00000279910	AL731532.1	chr10
10057	ENSG00000134571.10	ENSG00000134571	MYBPC3	chr11
10058	ENSG00000228086.1	ENSG00000228086	AL589990.1	chr1
10059	ENSG00000117528.11	ENSG00000117528	ABCD3	chr1
10060	ENSG00000271344.1	ENSG00000271344	AC018638.6	chr7
10061	ENSG00000271057.1	ENSG00000271057	AC073648.5	chr4
10062	ENSG00000127947.15	ENSG00000127947	PTPN12	chr7
10063	ENSG00000119922.9	ENSG00000119922	IFIT2	chr10
10064	ENSG00000264212.1	ENSG00000264212	AC103808.1	chr18
10065	ENSG00000125733.17	ENSG00000125733	TRIP10	chr19
10066	ENSG00000103549.21	ENSG00000103549	RNF40	chr16
10067	ENSG00000255967.1	ENSG00000255967	HADHAP2	chr12
10068	ENSG00000144048.10	ENSG00000144048	DUSP11	chr2
10069	ENSG00000225243.5	ENSG00000225243	AL021026.1	chr1
10070	ENSG00000224008.1	ENSG00000224008	LINC01441	chr20
10071	ENSG00000198570.5	ENSG00000198570	RD3	chr1
10072	ENSG00000215003.4	ENSG00000215003	RPL15P20	chr16
10073	ENSG00000237859.2	ENSG00000237859	EEF1A1P31	chrX
10074	ENSG00000274310.1	ENSG00000274310	AC091076.1	chr8
10075	ENSG00000158555.14	ENSG00000158555	GDPD5	chr11
10076	ENSG00000136866.13	ENSG00000136866	ZFP37	chr9
10077	ENSG00000112282.17	ENSG00000112282	MED23	chr6
10078	ENSG00000257962.1	ENSG00000257962	AC011773.2	chr8
10079	ENSG00000233423.1	ENSG00000233423	AC005482.1	chr7
10080	ENSG00000115596.3	ENSG00000115596	WNT6	chr2
10081	ENSG00000243572.1	ENSG00000243572	LINC02017	chr3
10082	ENSG00000201098.1	ENSG00000201098	RNY1	chr7
10083	ENSG00000239402.3	ENSG00000239402	CYP4F62P	chr2
10084	ENSG00000253295.1	ENSG00000253295	AC022217.2	chr5
10085	ENSG00000229188.2	ENSG00000229188	AL050349.1	chr20
10086	ENSG00000236427.1	ENSG00000236427	AL589986.2	chr1
10087	ENSG00000165115.14	ENSG00000165115	KIF27	chr9
10088	ENSG00000213133.4	ENSG00000213133	PPP1R14BP5	chr6
10089	ENSG00000238251.2	ENSG00000238251	AL133477.1	chr9
10090	ENSG00000232471.3	ENSG00000232471	AC119751.1	chr4
10091	ENSG00000233330.1	ENSG00000233330	AL078581.1	chr6
10092	ENSG00000270666.1	ENSG00000270666	AL021918.1	chr6
10093	ENSG00000251032.1	ENSG00000251032	CUL1P1	chr5
10094	ENSG00000242134.2	ENSG00000242134	RPL5P13	chr4
10095	ENSG00000227409.1	ENSG00000227409	ZMYM4-AS1	chr1
10096	ENSG00000226304.1	ENSG00000226304	AL358612.1	chr10
10097	ENSG00000258024.1	ENSG00000258024	OR5BT1P	chr12
10098	ENSG00000239626.1	ENSG00000239626	RPSAP41	chr6
10099	ENSG00000236287.7	ENSG00000236287	ZBED5	chr11
10100	ENSG00000283504.1	ENSG00000283504	AC006974.1	chr7
10101	ENSG00000238059.1	ENSG00000238059	HSPE1P21	chr6
10102	ENSG00000243495.1	ENSG00000243495	GMFBP1	chr3
10103	ENSG00000235486.1	ENSG00000235486	AC114755.5	chr2
10104	ENSG00000269055.1	ENSG00000269055	BNIP3P18	chr19
10105	ENSG00000241431.1	ENSG00000241431	RPL37P6	chr8
10106	ENSG00000279954.1	ENSG00000279954	BX324167.2	chr22
10107	ENSG00000238145.2	ENSG00000238145	AL731892.1	chr1
10108	ENSG00000149443.7	ENSG00000149443	C20orf78	chr20
10109	ENSG00000065183.15	ENSG00000065183	WDR3	chr1
10110	ENSG00000131050.10	ENSG00000131050	BPIFA2	chr20
10111	ENSG00000129515.18	ENSG00000129515	SNX6	chr14
10112	ENSG00000132676.15	ENSG00000132676	DAP3	chr1
10113	ENSG00000114779.19	ENSG00000114779	ABHD14B	chr3
10114	ENSG00000170340.10	ENSG00000170340	B3GNT2	chr2
10115	ENSG00000265041.1	ENSG00000265041	AC015688.3	chr17
10116	ENSG00000249216.1	ENSG00000249216	AC105389.2	chr4
10117	ENSG00000189401.2	ENSG00000189401	OTUD6A	chrX
10118	ENSG00000230196.1	ENSG00000230196	DDX43P3	chr7
10119	ENSG00000196570.2	ENSG00000196570	PFN3	chr5
10120	ENSG00000252147.1	ENSG00000252147	RNY3P16	chrX
10121	ENSG00000238242.1	ENSG00000238242	AC097066.1	chr1
10122	ENSG00000248926.1	ENSG00000248926	AC114801.2	chr4
10123	ENSG00000175536.6	ENSG00000175536	LIPT2	chr11
10124	ENSG00000269575.1	ENSG00000269575	MTDHP5	chr19
10125	ENSG00000223701.3	ENSG00000223701	RAET1E-AS1	chr6
10126	ENSG00000261436.5	ENSG00000261436	AC018554.1	chr16
10127	ENSG00000215478.8	ENSG00000215478	CES5AP1	chr22
10128	ENSG00000226827.1	ENSG00000226827	NPM1P11	chr7
10129	ENSG00000169504.14	ENSG00000169504	CLIC4	chr1
10130	ENSG00000261329.5	ENSG00000261329	AC016597.1	chr16
10131	ENSG00000224069.1	ENSG00000224069	BX842559.1	chrX
10132	ENSG00000110076.18	ENSG00000110076	NRXN2	chr11
10133	ENSG00000229458.2	ENSG00000229458	AC010157.1	chr10
10134	ENSG00000261651.1	ENSG00000261651	AC136285.2	chr16
10135	ENSG00000097021.19	ENSG00000097021	ACOT7	chr1
10136	ENSG00000189169.7	ENSG00000189169	KRTAP10-12	chr21
10137	ENSG00000006059.3	ENSG00000006059	KRT33A	chr17
10138	ENSG00000255344.1	ENSG00000255344	AP001999.3	chr11
10139	ENSG00000105997.22	ENSG00000105997	HOXA3	chr7
10140	ENSG00000230107.1	ENSG00000230107	AL022316.1	chr22
10141	ENSG00000234056.1	ENSG00000234056	LINC00463	chr13
10142	ENSG00000235615.2	ENSG00000235615	AJ239322.1	chr2
10143	ENSG00000125462.16	ENSG00000125462	C1orf61	chr1
10144	ENSG00000261761.3	ENSG00000261761	LINC02616	chr4
10145	ENSG00000249160.4	ENSG00000249160	LINC02213	chr5
10146	ENSG00000227491.1	ENSG00000227491	CCNJP1	chr7
10147	ENSG00000120896.13	ENSG00000120896	SORBS3	chr8
10148	ENSG00000144535.19	ENSG00000144535	DIS3L2	chr2
10149	ENSG00000255965.1	ENSG00000255965	AC073916.1	chr12
10150	ENSG00000111667.13	ENSG00000111667	USP5	chr12
10151	ENSG00000255190.2	ENSG00000255190	TRIM51DP	chr11
10152	ENSG00000249500.1	ENSG00000249500	LINC01179	chr4
10153	ENSG00000242973.6	ENSG00000242973	AL591242.1	chr6
10154	ENSG00000225705.2	ENSG00000225705	AC004899.1	chr7
10155	ENSG00000275895.6	ENSG00000275895	U2AF1L5	chr21
10156	ENSG00000237316.1	ENSG00000237316	Z82196.2	chr22
10157	ENSG00000258731.1	ENSG00000258731	AL356020.1	chr14
10158	ENSG00000229794.2	ENSG00000229794	MTCYBP32	chrX
10159	ENSG00000132514.13	ENSG00000132514	CLEC10A	chr17
10160	ENSG00000112874.9	ENSG00000112874	NUDT12	chr5
10161	ENSG00000165097.13	ENSG00000165097	KDM1B	chr6
10162	ENSG00000261184.1	ENSG00000261184	AC083864.3	chr7
10163	ENSG00000266489.1	ENSG00000266489	AC007922.3	chr18
10164	ENSG00000241307.1	ENSG00000241307	AC104472.2	chr3
10165	ENSG00000062194.15	ENSG00000062194	GPBP1	chr5
10166	ENSG00000154133.14	ENSG00000154133	ROBO4	chr11
10167	ENSG00000230600.1	ENSG00000230600	AC073188.3	chr7
10168	ENSG00000230922.1	ENSG00000230922	AL079301.1	chr22
10169	ENSG00000170953.2	ENSG00000170953	OR8B12	chr11
10170	ENSG00000204965.8	ENSG00000204965	PCDHA5	chr5
10171	ENSG00000187175.5	ENSG00000187175	KRTAP12-1	chr21
10172	ENSG00000258167.1	ENSG00000258167	AC107023.1	chr12
10173	ENSG00000227338.1	ENSG00000227338	AL139280.1	chr10
10174	ENSG00000141564.13	ENSG00000141564	RPTOR	chr17
10175	ENSG00000168461.12	ENSG00000168461	RAB31	chr18
10176	ENSG00000258394.1	ENSG00000258394	AL442163.1	chr14
10177	ENSG00000259420.5	ENSG00000259420	AC046168.2	chr15
10178	ENSG00000261799.1	ENSG00000261799	AC007406.5	chr12
10179	ENSG00000228539.1	ENSG00000228539	AL157413.1	chr20
10180	ENSG00000231317.1	ENSG00000231317	AC091812.1	chr7
10181	ENSG00000179046.8	ENSG00000179046	TRIML2	chr4
10182	ENSG00000213620.3	ENSG00000213620	AL121657.1	chr2
10183	ENSG00000125630.15	ENSG00000125630	POLR1B	chr2
10184	ENSG00000233219.1	ENSG00000233219	AC008080.3	chr7
10185	ENSG00000074356.16	ENSG00000074356	NCBP3	chr17
10186	ENSG00000225294.1	ENSG00000225294	OSTCP2	chr1
10187	ENSG00000152904.11	ENSG00000152904	GGPS1	chr1
10188	ENSG00000189064.8	ENSG00000189064	GAGE2A	chrX
10189	ENSG00000219547.1	ENSG00000219547	RPL17P25	chr6
10190	ENSG00000257748.1	ENSG00000257748	LINC02281	chr14
10191	ENSG00000273999.1	ENSG00000273999	RBM17P2	chr9
10192	ENSG00000234743.1	ENSG00000234743	EIF5AP4	chr10
10193	ENSG00000215887.5	ENSG00000215887	ZNF859P	chr1
10194	ENSG00000237735.2	ENSG00000237735	AF130359.1	chr21
10195	ENSG00000259011.1	ENSG00000259011	AC016266.1	chr15
10196	ENSG00000254454.2	ENSG00000254454	RCC2P6	chr11
10197	ENSG00000275294.4	ENSG00000275294	LINC02340	chr13
10198	ENSG00000229957.1	ENSG00000229957	AL031687.1	chr20
10199	ENSG00000237851.1	ENSG00000237851	AL023584.2	chr6
10200	ENSG00000270090.5	ENSG00000270090	AL590235.1	chr4
10201	ENSG00000273214.1	ENSG00000273214	AL031587.4	chr22
10202	ENSG00000145730.20	ENSG00000145730	PAM	chr5
10203	ENSG00000256686.1	ENSG00000256686	AC019209.3	chr12
10204	ENSG00000262703.1	ENSG00000262703	AC009121.1	chr16
10205	ENSG00000237154.2	ENSG00000237154	MCFD2P1	chr6
10206	ENSG00000249188.1	ENSG00000249188	ENPP7P1	chr8
10207	ENSG00000264421.1	ENSG00000264421	AC007448.2	chr17
10208	ENSG00000237764.2	ENSG00000237764	NA	NA
10209	ENSG00000253858.1	ENSG00000253858	AC008619.1	chr5
10210	ENSG00000197102.10	ENSG00000197102	DYNC1H1	chr14
10211	ENSG00000250590.5	ENSG00000250590	LINC02492	chr4
10212	ENSG00000243584.1	ENSG00000243584	AC068769.1	chr3
10213	ENSG00000200731.1	ENSG00000200731	RNU1-124P	chr8
10214	ENSG00000242493.3	ENSG00000242493	RN7SL37P	chr5
10215	ENSG00000235485.1	ENSG00000235485	AL021877.1	chr22
10216	ENSG00000122140.10	ENSG00000122140	MRPS2	chr9
10217	ENSG00000270232.1	ENSG00000270232	MTCYBP22	chr5
10218	ENSG00000255552.7	ENSG00000255552	LY6G6E	chr6
10219	ENSG00000253992.1	ENSG00000253992	AC103726.2	chr8
10220	ENSG00000228948.2	ENSG00000228948	SLC25A6P5	chr9
10221	ENSG00000214558.4	ENSG00000214558	AL365217.1	chr6
10222	ENSG00000258704.6	ENSG00000258704	SRP54-AS1	chr14
10223	ENSG00000233087.7	ENSG00000233087	RAB6D	chr2
10224	ENSG00000279886.1	ENSG00000279886	AC087645.3	chr17
10225	ENSG00000277945.1	ENSG00000277945	AC107308.1	chr12
10226	ENSG00000226889.3	ENSG00000226889	AL359541.1	chr1
10227	ENSG00000104205.12	ENSG00000104205	SGK3	chr8
10228	ENSG00000261236.7	ENSG00000261236	BOP1	chr8
10229	ENSG00000276449.1	ENSG00000276449	AC004076.2	chr19
10230	ENSG00000229953.1	ENSG00000229953	AL590666.2	chr1
10231	ENSG00000235695.1	ENSG00000235695	AC130472.1	chr3
10232	ENSG00000219384.1	ENSG00000219384	AL138880.1	chr6
10233	ENSG00000251216.1	ENSG00000251216	AC106895.2	chr4
10234	ENSG00000241449.5	ENSG00000241449	AC092666.1	chr7
10235	ENSG00000272676.1	ENSG00000272676	OR5AO1P	chr11
10236	ENSG00000229267.2	ENSG00000229267	AC016708.1	chr2
10237	ENSG00000234436.1	ENSG00000234436	AC245884.2	chr19
10238	ENSG00000272575.5	ENSG00000272575	LINC02098	chr11
10239	ENSG00000225552.1	ENSG00000225552	NAALADL2-AS1	chr3
10240	ENSG00000180357.9	ENSG00000180357	ZNF609	chr15
10241	ENSG00000185275.6	ENSG00000185275	CD24P4	chrY
10242	ENSG00000260963.1	ENSG00000260963	AC026462.3	chr16
10243	ENSG00000250331.1	ENSG00000250331	LINC01340	chr5
10244	ENSG00000229091.3	ENSG00000229091	HSPA8P8	chr7
10245	ENSG00000232992.2	ENSG00000232992	AHCYP4	chr2
10246	ENSG00000156127.6	ENSG00000156127	BATF	chr14
10247	ENSG00000204577.11	ENSG00000204577	LILRB3	chr19
10248	ENSG00000169855.19	ENSG00000169855	ROBO1	chr3
10249	ENSG00000182541.17	ENSG00000182541	LIMK2	chr22
10250	ENSG00000235988.1	ENSG00000235988	AC245100.5	chr1
10251	ENSG00000071537.13	ENSG00000071537	SEL1L	chr14
10252	ENSG00000103154.9	ENSG00000103154	NECAB2	chr16
10253	ENSG00000154229.11	ENSG00000154229	PRKCA	chr17
10254	ENSG00000255648.1	ENSG00000255648	AC087242.1	chr12
10255	ENSG00000239344.1	ENSG00000239344	AC090686.1	chr8
10256	ENSG00000229797.1	ENSG00000229797	AC140481.1	chr2
10257	ENSG00000170819.4	ENSG00000170819	BFSP2	chr3
10258	ENSG00000136856.17	ENSG00000136856	SLC2A8	chr9
10259	ENSG00000214553.9	ENSG00000214553	LRRC37A11P	chr17
10260	ENSG00000270894.1	ENSG00000270894	AC015849.4	chr17
10261	ENSG00000112697.15	ENSG00000112697	TMEM30A	chr6
10262	ENSG00000223726.1	ENSG00000223726	AL020994.1	chr22
10263	ENSG00000200656.1	ENSG00000200656	SNORA5B	chr7
10264	ENSG00000279348.1	ENSG00000279348	AC012513.3	chr2
10265	ENSG00000225689.1	ENSG00000225689	AL442647.1	chrX
10266	ENSG00000238724.1	ENSG00000238724	RF01210	chr11
10267	ENSG00000142627.12	ENSG00000142627	EPHA2	chr1
10268	ENSG00000230427.1	ENSG00000230427	AC095033.1	chr1
10269	ENSG00000279565.1	ENSG00000279565	AL121835.2	chr6
10270	ENSG00000164893.8	ENSG00000164893	SLC7A13	chr8
10271	ENSG00000123159.15	ENSG00000123159	GIPC1	chr19
10272	ENSG00000236208.1	ENSG00000236208	C10orf71-AS1	chr10
10273	ENSG00000233884.1	ENSG00000233884	AL772337.2	chr9
10274	ENSG00000232901.1	ENSG00000232901	CYCSP10	chr3
10275	ENSG00000217083.1	ENSG00000217083	MTCO2P33	chr6
10276	ENSG00000186710.11	ENSG00000186710	CFAP73	chr12
10277	ENSG00000176256.10	ENSG00000176256	HMGB4	chr1
10278	ENSG00000143365.17	ENSG00000143365	RORC	chr1
10279	ENSG00000267879.1	ENSG00000267879	AC011483.1	chr19
10280	ENSG00000255960.1	ENSG00000255960	AC092851.1	chr12
10281	ENSG00000133059.16	ENSG00000133059	DSTYK	chr1
10282	ENSG00000223910.1	ENSG00000223910	ZNF32-AS3	chr10
10283	ENSG00000249776.5	ENSG00000249776	AC124854.1	chr5
10284	ENSG00000214736.7	ENSG00000214736	TOMM6	chr6
10285	ENSG00000169087.10	ENSG00000169087	HSPBAP1	chr3
10286	ENSG00000274159.1	ENSG00000274159	AL133243.1	chr2
10287	ENSG00000240915.2	ENSG00000240915	AC120042.1	chr8
10288	ENSG00000266573.5	ENSG00000266573	AC018697.1	chr18
10289	ENSG00000241346.1	ENSG00000241346	SNRPCP11	chr3
10290	ENSG00000233409.1	ENSG00000233409	FANK1-AS1	chr10
10291	ENSG00000222248.1	ENSG00000222248	RNA5SP201	chr6
10292	ENSG00000214761.3	ENSG00000214761	HNRNPA1P15	chr9
10293	ENSG00000232377.1	ENSG00000232377	AC016910.1	chr2
10294	ENSG00000260468.1	ENSG00000260468	LINC01290	chr16
10295	ENSG00000232685.4	ENSG00000232685	LINC00442	chr13
10296	ENSG00000226741.1	ENSG00000226741	LINC02554	chr22
10297	ENSG00000257507.1	ENSG00000257507	LINC02373	chr12
10298	ENSG00000244080.3	ENSG00000244080	RN7SL833P	chr19
