ENSG_ver	ENSG_no_ver	GeneSymbol	chr
3240	ENSG00000135931.17	ENSG00000135931	ARMC9	chr2
2041	ENSG00000135932.10	ENSG00000135932	CAB39	chr2
5059	ENSG00000135940.6	ENSG00000135940	COX5B	chr2
4049	ENSG00000135945.9	ENSG00000135945	REV1	chr2
4775	ENSG00000135951.14	ENSG00000135951	TSGA10	chr2
10768	ENSG00000135953.10	ENSG00000135953	MFSD9	chr2
14067	ENSG00000135956.8	ENSG00000135956	TMEM127	chr2
329075	ENSG00000135960.9	ENSG00000135960	EDAR	chr2
13451	ENSG00000135966.12	ENSG00000135966	TGFBRAP1	chr2
15226	ENSG00000135968.20	ENSG00000135968	GCC2	chr2
6144	ENSG00000135972.8	ENSG00000135972	MRPS9	chr2
198543	ENSG00000135973.2	ENSG00000135973	GPR45	chr2
9193	ENSG00000135974.9	ENSG00000135974	C2orf49	chr2
11610	ENSG00000135976.17	ENSG00000135976	ANKRD36	chr2
6080	ENSG00000135999.11	ENSG00000135999	EPC2	chr2
12720	ENSG00000136002.18	ENSG00000136002	ARHGEF4	chr2
13929	ENSG00000136003.15	ENSG00000136003	ISCU	chr12
1648	ENSG00000136010.13	ENSG00000136010	ALDH1L2	chr12
413	ENSG00000136011.14	ENSG00000136011	STAB2	chr12
8738	ENSG00000136014.11	ENSG00000136014	USP44	chr12
6697	ENSG00000136021.18	ENSG00000136021	SCYL2	chr12
4771	ENSG00000136026.13	ENSG00000136026	CKAP4	chr12
9144	ENSG00000136040.8	ENSG00000136040	PLXNC1	chr12
14366	ENSG00000136044.11	ENSG00000136044	APPL2	chr12
11879	ENSG00000136045.11	ENSG00000136045	PWP1	chr12
14256	ENSG00000136048.13	ENSG00000136048	DRAM1	chr12
6394	ENSG00000136051.13	ENSG00000136051	WASHC4	chr12
64	ENSG00000136052.9	ENSG00000136052	SLC41A2	chr12
2925	ENSG00000136059.14	ENSG00000136059	VILL	chr3
14028	ENSG00000136068.14	ENSG00000136068	FLNB	chr3
15151	ENSG00000136098.16	ENSG00000136098	NEK3	chr13
98156	ENSG00000136099.13	ENSG00000136099	PCDH8	chr13
10065	ENSG00000136100.12	ENSG00000136100	VPS36	chr13
11021	ENSG00000136104.19	ENSG00000136104	RNASEH2B	chr13
5721	ENSG00000136108.14	ENSG00000136108	CKAP2	chr13
97340	ENSG00000136110.12	ENSG00000136110	CNMD	chr13
8211	ENSG00000136111.12	ENSG00000136111	TBC1D4	chr13
813	ENSG00000136114.15	ENSG00000136114	THSD1	chr13
4542	ENSG00000136122.15	ENSG00000136122	BORA	chr13
16114	ENSG00000136141.14	ENSG00000136141	LRCH1	chr13
2345	ENSG00000136143.14	ENSG00000136143	SUCLA2	chr13
14210	ENSG00000136144.11	ENSG00000136144	RCBTB1	chr13
15362	ENSG00000136146.14	ENSG00000136146	MED4	chr13
15155	ENSG00000136147.17	ENSG00000136147	PHF11	chr13
2194	ENSG00000136149.6	ENSG00000136149	RPL13AP25	chr13
13247	ENSG00000136152.14	ENSG00000136152	COG3	chr13
1920	ENSG00000136153.19	ENSG00000136153	LMO7	chr13
19139	ENSG00000136155.16	ENSG00000136155	SCEL	chr13
2223	ENSG00000136156.12	ENSG00000136156	ITM2B	chr13
1164	ENSG00000136158.11	ENSG00000136158	SPRY2	chr13
3269	ENSG00000136159.3	ENSG00000136159	NUDT15	chr13
4747	ENSG00000136160.14	ENSG00000136160	EDNRB	chr13
15550	ENSG00000136161.12	ENSG00000136161	RCBTB2	chr13
815	ENSG00000136167.13	ENSG00000136167	LCP1	chr13
15180	ENSG00000136169.16	ENSG00000136169	SETDB2	chr13
9699	ENSG00000136193.16	ENSG00000136193	SCRN1	chr7
12661	ENSG00000136197.12	ENSG00000136197	C7orf25	chr7
567	ENSG00000136205.16	ENSG00000136205	TNS3	chr7
6694	ENSG00000136213.9	ENSG00000136213	CHST12	chr7
282522	ENSG00000136231.13	ENSG00000136231	IGF2BP3	chr7
13664	ENSG00000136235.15	ENSG00000136235	GPNMB	chr7
14450	ENSG00000136237.18	ENSG00000136237	RAPGEF5	chr7
14059	ENSG00000136238.17	ENSG00000136238	RAC1	chr7
14798	ENSG00000136240.9	ENSG00000136240	KDELR2	chr7
6296	ENSG00000136243.16	ENSG00000136243	NUPL2	chr7
6679	ENSG00000136244.11	ENSG00000136244	IL6	chr7
5937	ENSG00000136247.14	ENSG00000136247	ZDHHC4	chr7
6973	ENSG00000136250.11	ENSG00000136250	AOAH	chr7
7667	ENSG00000136261.14	ENSG00000136261	BZW2	chr7
107453	ENSG00000136267.13	ENSG00000136267	DGKB	chr7
9802	ENSG00000136270.13	ENSG00000136270	TBRG4	chr7
11279	ENSG00000136271.10	ENSG00000136271	DDX56	chr7
8131	ENSG00000136273.11	ENSG00000136273	HUS1	chr7
150	ENSG00000136274.8	ENSG00000136274	NACAD	chr7
8894	ENSG00000136279.20	ENSG00000136279	DBNL	chr7
3882	ENSG00000136280.15	ENSG00000136280	CCM2	chr7
12565	ENSG00000136286.14	ENSG00000136286	MYO1G	chr7
11430	ENSG00000136295.14	ENSG00000136295	TTYH3	chr7
109109	ENSG00000136297.14	ENSG00000136297	MMD2	chr7
628094	ENSG00000136315.4	ENSG00000136315	AL355922.1	chr14
3259	ENSG00000136319.11	ENSG00000136319	TTC5	chr14
202438	ENSG00000136327.6	ENSG00000136327	NKX2-8	chr14
95947	ENSG00000136352.17	ENSG00000136352	NKX2-1	chr14
8916	ENSG00000136367.13	ENSG00000136367	ZFHX2	chr14
6078	ENSG00000136371.10	ENSG00000136371	MTHFS	chr15
13874	ENSG00000136378.14	ENSG00000136378	ADAMTS7	chr15
12048	ENSG00000136379.11	ENSG00000136379	ABHD17C	chr15
12651	ENSG00000136381.12	ENSG00000136381	IREB2	chr15
3736	ENSG00000136383.6	ENSG00000136383	ALPK3	chr15
11716	ENSG00000136404.15	ENSG00000136404	TM6SF1	chr15
6010	ENSG00000136425.12	ENSG00000136425	CIB2	chr15
4339	ENSG00000136436.14	ENSG00000136436	CALCOCO2	chr17
15594	ENSG00000136444.9	ENSG00000136444	RSAD1	chr17
2598	ENSG00000136448.11	ENSG00000136448	NMT1	chr17
8180	ENSG00000136449.13	ENSG00000136449	MYCBPAP	chr17
6822	ENSG00000136450.12	ENSG00000136450	SRSF1	chr17
8440	ENSG00000136451.8	ENSG00000136451	VEZF1	chr17
10678	ENSG00000136457.9	ENSG00000136457	CHAD	chr17
1137	ENSG00000136463.7	ENSG00000136463	TACO1	chr17
10123	ENSG00000136478.7	ENSG00000136478	TEX2	chr17
12335	ENSG00000136485.14	ENSG00000136485	DCAF7	chr17
507627	ENSG00000136487.17	ENSG00000136487	GH2	chr17
511676	ENSG00000136488.14	ENSG00000136488	CSH1	chr17
14231	ENSG00000136490.8	ENSG00000136490	LIMD2	chr17
10160	ENSG00000136492.8	ENSG00000136492	BRIP1	chr17
5088	ENSG00000136504.11	ENSG00000136504	KAT7	chr17
11391	ENSG00000136514.2	ENSG00000136514	RTP4	chr3
12459	ENSG00000136518.16	ENSG00000136518	ACTL6A	chr3
4087	ENSG00000136521.12	ENSG00000136521	NDUFB5	chr3
10582	ENSG00000136522.13	ENSG00000136522	MRPL47	chr3
5574	ENSG00000136527.17	ENSG00000136527	TRA2B	chr3
18459	ENSG00000136531.15	ENSG00000136531	SCN2A	chr2
163169	ENSG00000136535.14	ENSG00000136535	TBR1	chr2
7046	ENSG00000136536.14	ENSG00000136536	MARCH7	chr2
8158	ENSG00000136541.14	ENSG00000136541	ERMN	chr2
51266	ENSG00000136542.8	ENSG00000136542	GALNT5	chr2
1435	ENSG00000136546.13	ENSG00000136546	SCN7A	chr2
14330	ENSG00000136560.13	ENSG00000136560	TANK	chr2
296196	ENSG00000136573.12	ENSG00000136573	BLK	chr8
39181	ENSG00000136574.17	ENSG00000136574	GATA4	chr8
9914	ENSG00000136603.13	ENSG00000136603	SKIL	chr3
12116	ENSG00000136628.17	ENSG00000136628	EPRS	chr1
15140	ENSG00000136630.12	ENSG00000136630	HLX	chr1
5097	ENSG00000136631.12	ENSG00000136631	VPS45	chr1
18678	ENSG00000136634.5	ENSG00000136634	IL10	chr1
14077	ENSG00000136636.12	ENSG00000136636	KCTD3	chr1
4303	ENSG00000136643.11	ENSG00000136643	RPS6KC1	chr1
10079	ENSG00000136682.14	ENSG00000136682	CBWD2	chr2
362400	ENSG00000136688.10	ENSG00000136688	IL36G	chr2
1523	ENSG00000136689.18	ENSG00000136689	IL1RN	chr2
370871	ENSG00000136694.8	ENSG00000136694	IL36A	chr2
373106	ENSG00000136695.14	ENSG00000136695	IL36RN	chr2
364590	ENSG00000136696.10	ENSG00000136696	IL36B	chr2
520859	ENSG00000136697.12	ENSG00000136697	IL1F10	chr2
118159	ENSG00000136698.8	ENSG00000136698	CFC1	chr2
15398	ENSG00000136699.19	ENSG00000136699	SMPD4	chr2
6143	ENSG00000136709.11	ENSG00000136709	WDR33	chr2
2276	ENSG00000136710.9	ENSG00000136710	CCDC115	chr2
5171	ENSG00000136715.17	ENSG00000136715	SAP130	chr2
7422	ENSG00000136717.14	ENSG00000136717	BIN1	chr2
7450	ENSG00000136718.9	ENSG00000136718	IMP4	chr2
12694	ENSG00000136720.6	ENSG00000136720	HS6ST1	chr2
4816	ENSG00000136731.12	ENSG00000136731	UGGT1	chr2
5290	ENSG00000136732.14	ENSG00000136732	GYPC	chr2
9334	ENSG00000136738.14	ENSG00000136738	STAM	chr10
102398	ENSG00000136750.11	ENSG00000136750	GAD2	chr10
10122	ENSG00000136754.16	ENSG00000136754	ABI1	chr10
14312	ENSG00000136758.18	ENSG00000136758	YME1L1	chr10
12944	ENSG00000136770.10	ENSG00000136770	DNAJC1	chr10
8349	ENSG00000136783.9	ENSG00000136783	NIPSNAP3A	chr9
14521	ENSG00000136802.11	ENSG00000136802	LRRC8A	chr9
15418	ENSG00000136807.13	ENSG00000136807	CDK9	chr9
15288	ENSG00000136810.12	ENSG00000136810	TXN	chr9
10266	ENSG00000136811.16	ENSG00000136811	ODF2	chr9
15123	ENSG00000136813.14	ENSG00000136813	ECPAS	chr9
14580	ENSG00000136816.15	ENSG00000136816	TOR1B	chr9
15883	ENSG00000136819.15	ENSG00000136819	C9orf78	chr9
14348	ENSG00000136824.18	ENSG00000136824	SMC2	chr9
4766	ENSG00000136826.14	ENSG00000136826	KLF4	chr9
9885	ENSG00000136827.11	ENSG00000136827	TOR1A	chr9
6827	ENSG00000136828.18	ENSG00000136828	RALGPS1	chr9
4666	ENSG00000136830.11	ENSG00000136830	FAM129B	chr9
14599	ENSG00000136840.18	ENSG00000136840	ST6GALNAC4	chr9
2486	ENSG00000136842.13	ENSG00000136842	TMOD1	chr9
14198	ENSG00000136848.16	ENSG00000136848	DAB2IP	chr9
13192	ENSG00000136854.19	ENSG00000136854	STXBP1	chr9
6896	ENSG00000136856.17	ENSG00000136856	SLC2A8	chr9
7723	ENSG00000136859.9	ENSG00000136859	ANGPTL2	chr9
6531	ENSG00000136861.17	ENSG00000136861	CDK5RAP2	chr9
6918	ENSG00000136866.13	ENSG00000136866	ZFP37	chr9
539	ENSG00000136867.10	ENSG00000136867	SLC31A2	chr9
767	ENSG00000136868.10	ENSG00000136868	SLC31A1	chr9
3610	ENSG00000136869.13	ENSG00000136869	TLR4	chr9
11901	ENSG00000136870.10	ENSG00000136870	ZNF189	chr9
40928	ENSG00000136872.17	ENSG00000136872	ALDOB	chr9
11744	ENSG00000136874.10	ENSG00000136874	STX17	chr9
14270	ENSG00000136875.12	ENSG00000136875	PRPF4	chr9
10512	ENSG00000136877.14	ENSG00000136877	FPGS	chr9
7811	ENSG00000136878.12	ENSG00000136878	USP20	chr9
101143	ENSG00000136881.11	ENSG00000136881	BAAT	chr9
96000	ENSG00000136883.13	ENSG00000136883	KIF12	chr9
8392	ENSG00000136888.6	ENSG00000136888	ATP6V1G1	chr9
13869	ENSG00000136891.13	ENSG00000136891	TEX10	chr9
602	ENSG00000136895.18	ENSG00000136895	GARNL3	chr9
9356	ENSG00000136897.7	ENSG00000136897	MRPL50	chr9
12140	ENSG00000136908.17	ENSG00000136908	DPM2	chr9
102797	ENSG00000136918.7	ENSG00000136918	WDR38	chr9
14596	ENSG00000136925.14	ENSG00000136925	TSTD2	chr9
42985	ENSG00000136928.6	ENSG00000136928	GABBR2	chr9
436797	ENSG00000136929.12	ENSG00000136929	HEMGN	chr9
12888	ENSG00000136930.12	ENSG00000136930	PSMB7	chr9
44718	ENSG00000136931.9	ENSG00000136931	NR5A1	chr9
11710	ENSG00000136932.13	ENSG00000136932	TRMO	chr9
6065	ENSG00000136933.16	ENSG00000136933	RABEPK	chr9
6386	ENSG00000136935.13	ENSG00000136935	GOLGA1	chr9
2694	ENSG00000136936.10	ENSG00000136936	XPA	chr9
13206	ENSG00000136937.12	ENSG00000136937	NCBP1	chr9
8375	ENSG00000136938.8	ENSG00000136938	ANP32B	chr9
8765	ENSG00000136940.13	ENSG00000136940	PDCL	chr9
3976	ENSG00000136942.14	ENSG00000136942	RPL35	chr9
101108	ENSG00000136943.10	ENSG00000136943	CTSV	chr9
5856	ENSG00000136944.17	ENSG00000136944	LMX1B	chr9
14813	ENSG00000136950.13	ENSG00000136950	ARPC5L	chr9
1025	ENSG00000136960.12	ENSG00000136960	ENPP2	chr8
9340	ENSG00000136982.5	ENSG00000136982	DSCC1	chr8
1534	ENSG00000136986.9	ENSG00000136986	DERL1	chr8
4871	ENSG00000136997.16	ENSG00000136997	MYC	chr8
1533	ENSG00000136999.4	ENSG00000136999	CCN3	chr8
326	ENSG00000137033.11	ENSG00000137033	IL33	chr9
12543	ENSG00000137038.7	ENSG00000137038	DMAC1	chr9
11321	ENSG00000137040.9	ENSG00000137040	RANBP6	chr9
8827	ENSG00000137054.15	ENSG00000137054	POLR1E	chr9
14610	ENSG00000137055.14	ENSG00000137055	PLAA	chr9
4619	ENSG00000137070.17	ENSG00000137070	IL11RA	chr9
7528	ENSG00000137073.21	ENSG00000137073	UBAP2	chr9
13516	ENSG00000137074.18	ENSG00000137074	APTX	chr9
9600	ENSG00000137075.17	ENSG00000137075	RNF38	chr9
11990	ENSG00000137076.20	ENSG00000137076	TLN1	chr9
675	ENSG00000137077.7	ENSG00000137077	CCL21	chr9
1290	ENSG00000137078.8	ENSG00000137078	SIT1	chr9
1043	ENSG00000137094.14	ENSG00000137094	DNAJB5	chr9
4723	ENSG00000137098.13	ENSG00000137098	SPAG8	chr9
10568	ENSG00000137100.15	ENSG00000137100	DCTN3	chr9
3465	ENSG00000137101.12	ENSG00000137101	CD72	chr9
1482	ENSG00000137103.16	ENSG00000137103	TMEM8B	chr9
14962	ENSG00000137106.17	ENSG00000137106	GRHPR	chr9
2044	ENSG00000137124.7	ENSG00000137124	ALDH1B1	chr9
5182	ENSG00000137133.10	ENSG00000137133	HINT2	chr9
11662	ENSG00000137135.17	ENSG00000137135	ARHGEF39	chr9
50279	ENSG00000137142.4	ENSG00000137142	IGFBPL1	chr9
1993	ENSG00000137145.20	ENSG00000137145	DENND4C	chr9
2426	ENSG00000137154.12	ENSG00000137154	RPS6	chr9
15235	ENSG00000137161.16	ENSG00000137161	CNPY3	chr6
3854	ENSG00000137166.14	ENSG00000137166	FOXP4	chr6
13006	ENSG00000137168.7	ENSG00000137168	PPIL1	chr6
15348	ENSG00000137171.14	ENSG00000137171	KLC4	chr6
5692	ENSG00000137177.19	ENSG00000137177	KIF13A	chr6
13440	ENSG00000137185.11	ENSG00000137185	ZSCAN9	chr6
2940	ENSG00000137193.13	ENSG00000137193	PIM1	chr6
12361	ENSG00000137198.9	ENSG00000137198	GMPR	chr6
13953	ENSG00000137200.12	ENSG00000137200	CMTR1	chr6
54649	ENSG00000137203.10	ENSG00000137203	TFAP2A	chr6
120883	ENSG00000137204.14	ENSG00000137204	SLC22A7	chr6
9225	ENSG00000137207.11	ENSG00000137207	YIPF3	chr6
14341	ENSG00000137210.13	ENSG00000137210	TMEM14B	chr6
11968	ENSG00000137216.18	ENSG00000137216	TMEM63B	chr6
8120	ENSG00000137218.10	ENSG00000137218	FRS3	chr6
14955	ENSG00000137221.14	ENSG00000137221	TJAP1	chr6
12893	ENSG00000137225.12	ENSG00000137225	CAPN11	chr6
297156	ENSG00000137251.15	ENSG00000137251	TINAG	chr6
196717	ENSG00000137252.9	ENSG00000137252	HCRTR2	chr6
111199	ENSG00000137261.13	ENSG00000137261	KIAA0319	chr6
1292	ENSG00000137265.14	ENSG00000137265	IRF4	chr6
1101	ENSG00000137266.14	ENSG00000137266	SLC22A23	chr6
1885	ENSG00000137267.5	ENSG00000137267	TUBB2A	chr6
3393	ENSG00000137269.14	ENSG00000137269	LRRC1	chr6
575332	ENSG00000137270.10	ENSG00000137270	GCM1	chr6
12225	ENSG00000137273.3	ENSG00000137273	FOXF2	chr6
2198	ENSG00000137274.12	ENSG00000137274	BPHL	chr6
11683	ENSG00000137275.13	ENSG00000137275	RIPK1	chr6
9102	ENSG00000137285.9	ENSG00000137285	TUBB2B	chr6
13691	ENSG00000137288.9	ENSG00000137288	UQCC2	chr6
966	ENSG00000137309.19	ENSG00000137309	HMGA1	chr6
5289	ENSG00000137310.11	ENSG00000137310	TCF19	chr6
5280	ENSG00000137312.14	ENSG00000137312	FLOT1	chr6
4199	ENSG00000137331.11	ENSG00000137331	IER3	chr6
13621	ENSG00000137337.14	ENSG00000137337	MDC1	chr6
9846	ENSG00000137338.5	ENSG00000137338	PGBD1	chr6
2793	ENSG00000137343.17	ENSG00000137343	ATAT1	chr6
14127	ENSG00000137364.4	ENSG00000137364	TPMT	chr6
20399	ENSG00000137392.9	ENSG00000137392	CLPS	chr6
1676	ENSG00000137393.9	ENSG00000137393	RNF144B	chr6
1963	ENSG00000137404.14	ENSG00000137404	NRM	chr6
13761	ENSG00000137409.19	ENSG00000137409	MTCH1	chr6
4957	ENSG00000137411.16	ENSG00000137411	VARS2	chr6
1953	ENSG00000137413.15	ENSG00000137413	TAF8	chr6
13701	ENSG00000137414.5	ENSG00000137414	FAM8A1	chr6
182326	ENSG00000137434.11	ENSG00000137434	C6orf52	chr6
328514	ENSG00000137440.4	ENSG00000137440	FGFBP1	chr4
2082	ENSG00000137441.7	ENSG00000137441	FGFBP2	chr4
16021	ENSG00000137449.15	ENSG00000137449	CPEB2	chr4
3056	ENSG00000137460.8	ENSG00000137460	FHDC1	chr4
1194	ENSG00000137462.6	ENSG00000137462	TLR2	chr4
17155	ENSG00000137463.4	ENSG00000137463	MGARP	chr4
101702	ENSG00000137473.17	ENSG00000137473	TTC29	chr4
11016	ENSG00000137474.19	ENSG00000137474	MYO7A	chr11
1250	ENSG00000137478.14	ENSG00000137478	FCHSD2	chr11
13475	ENSG00000137486.16	ENSG00000137486	ARRB1	chr11
4046	ENSG00000137491.14	ENSG00000137491	SLCO2B1	chr11
15974	ENSG00000137492.7	ENSG00000137492	THAP12	chr11
11529	ENSG00000137494.13	ENSG00000137494	ANKRD42	chr11
11992	ENSG00000137496.17	ENSG00000137496	IL18BP	chr11
6221	ENSG00000137497.17	ENSG00000137497	NUMA1	chr11
7228	ENSG00000137500.9	ENSG00000137500	CCDC90B	chr11
1264	ENSG00000137501.17	ENSG00000137501	SYTL2	chr11
5500	ENSG00000137502.9	ENSG00000137502	RAB30	chr11
14264	ENSG00000137504.13	ENSG00000137504	CREBZF	chr11
7504	ENSG00000137507.11	ENSG00000137507	LRRC32	chr11
1343	ENSG00000137509.10	ENSG00000137509	PRCP	chr11
12714	ENSG00000137513.9	ENSG00000137513	NARS2	chr11
12330	ENSG00000137522.17	ENSG00000137522	RNF121	chr11
1839	ENSG00000137547.8	ENSG00000137547	MRPL15	chr8
5947	ENSG00000137558.7	ENSG00000137558	PI15	chr8
6907	ENSG00000137561.4	ENSG00000137561	TTPA	chr8
5693	ENSG00000137563.11	ENSG00000137563	GGH	chr8
58196	ENSG00000137571.10	ENSG00000137571	SLCO5A1	chr8
1259	ENSG00000137573.13	ENSG00000137573	SULF1	chr8
14937	ENSG00000137574.10	ENSG00000137574	TGS1	chr8
14640	ENSG00000137575.11	ENSG00000137575	SDCBP	chr8
649	ENSG00000137601.16	ENSG00000137601	NEK1	chr4
10416	ENSG00000137628.16	ENSG00000137628	DDX60	chr4
312913	ENSG00000137634.9	ENSG00000137634	NXPE4	chr11
9075	ENSG00000137642.12	ENSG00000137642	SORL1	chr11
313191	ENSG00000137648.17	ENSG00000137648	TMPRSS4	chr11
1781	ENSG00000137656.11	ENSG00000137656	BUD13	chr11
14045	ENSG00000137672.12	ENSG00000137672	TRPC6	chr11
408	ENSG00000137673.8	ENSG00000137673	MMP7	chr11
130	ENSG00000137675.4	ENSG00000137675	MMP27	chr11
1092	ENSG00000137691.12	ENSG00000137691	CFAP300	chr11
4686	ENSG00000137692.11	ENSG00000137692	DCUN1D5	chr11
6666	ENSG00000137693.13	ENSG00000137693	YAP1	chr11
3382	ENSG00000137699.16	ENSG00000137699	TRIM29	chr11
14337	ENSG00000137700.17	ENSG00000137700	SLC37A4	chr11
263772	ENSG00000137709.9	ENSG00000137709	POU2F3	chr11
15567	ENSG00000137710.14	ENSG00000137710	RDX	chr11
749	ENSG00000137713.15	ENSG00000137713	PPP2R1B	chr11
795	ENSG00000137714.2	ENSG00000137714	FDX1	chr11
10439	ENSG00000137720.7	ENSG00000137720	C11orf1	chr11
1003	ENSG00000137726.16	ENSG00000137726	FXYD6	chr11
15066	ENSG00000137727.12	ENSG00000137727	ARHGAP20	chr11
24828	ENSG00000137731.13	ENSG00000137731	FXYD2	chr11
501167	ENSG00000137745.11	ENSG00000137745	MMP13	chr11
8408	ENSG00000137747.15	ENSG00000137747	TMPRSS13	chr11
13975	ENSG00000137752.23	ENSG00000137752	CASP1	chr11
328546	ENSG00000137757.10	ENSG00000137757	CASP5	chr11
2616	ENSG00000137760.14	ENSG00000137760	ALKBH8	chr11
11539	ENSG00000137764.19	ENSG00000137764	MAP2K5	chr15
58416	ENSG00000137766.16	ENSG00000137766	UNC13C	chr15
12915	ENSG00000137767.13	ENSG00000137767	SQOR	chr15
13993	ENSG00000137770.13	ENSG00000137770	CTDSPL2	chr15
9850	ENSG00000137776.16	ENSG00000137776	SLTM	chr15
14595	ENSG00000137801.10	ENSG00000137801	THBS1	chr15
5728	ENSG00000137802.13	ENSG00000137802	MAPKBP1	chr15
7572	ENSG00000137804.12	ENSG00000137804	NUSAP1	chr15
2587	ENSG00000137806.8	ENSG00000137806	NDUFAF1	chr15
9861	ENSG00000137807.13	ENSG00000137807	KIF23	chr15
2291	ENSG00000137809.16	ENSG00000137809	ITGA11	chr15
8585	ENSG00000137812.19	ENSG00000137812	KNL1	chr15
1681	ENSG00000137814.10	ENSG00000137814	HAUS2	chr15
8338	ENSG00000137815.14	ENSG00000137815	RTF1	chr15
12983	ENSG00000137817.16	ENSG00000137817	PARP6	chr15
2391	ENSG00000137818.11	ENSG00000137818	RPLP1	chr15
4050	ENSG00000137819.13	ENSG00000137819	PAQR5	chr15
2487	ENSG00000137821.11	ENSG00000137821	LRRC49	chr15
11679	ENSG00000137822.12	ENSG00000137822	TUBGCP4	chr15
1738	ENSG00000137824.15	ENSG00000137824	RMDN3	chr15
34085	ENSG00000137825.10	ENSG00000137825	ITPKA	chr15
15368	ENSG00000137831.14	ENSG00000137831	UACA	chr15
4892	ENSG00000137834.14	ENSG00000137834	SMAD6	chr15
4795	ENSG00000137841.11	ENSG00000137841	PLCB2	chr15
14853	ENSG00000137842.6	ENSG00000137842	TMEM62	chr15
32765	ENSG00000137843.11	ENSG00000137843	PAK6	chr15
10679	ENSG00000137845.14	ENSG00000137845	ADAM10	chr15
6597	ENSG00000137857.17	ENSG00000137857	DUOX1	chr15
328745	ENSG00000137860.11	ENSG00000137860	SLC28A2	chr15
16161	ENSG00000137868.18	ENSG00000137868	STRA6	chr15
3635	ENSG00000137869.14	ENSG00000137869	CYP19A1	chr15
6089	ENSG00000137871.19	ENSG00000137871	ZNF280D	chr15
10873	ENSG00000137872.16	ENSG00000137872	SEMA6D	chr15
37004	ENSG00000137875.4	ENSG00000137875	BCL2L10	chr15
4499	ENSG00000137876.9	ENSG00000137876	RSL24D1	chr15
5989	ENSG00000137877.9	ENSG00000137877	SPTBN5	chr15
3027	ENSG00000137880.5	ENSG00000137880	GCHFR	chr15
3562	ENSG00000137936.16	ENSG00000137936	BCAR3	chr1
1662	ENSG00000137941.16	ENSG00000137941	TTLL7	chr1
5460	ENSG00000137942.16	ENSG00000137942	FNBP1L	chr1
15672	ENSG00000137944.17	ENSG00000137944	KYAT3	chr1
5005	ENSG00000137947.11	ENSG00000137947	GTF2B	chr1
9326	ENSG00000137955.15	ENSG00000137955	RABGGTB	chr1
10800	ENSG00000137959.15	ENSG00000137959	IFI44L	chr1
7338	ENSG00000137960.5	ENSG00000137960	GIPC2	chr1
14551	ENSG00000137962.12	ENSG00000137962	ARHGAP29	chr1
12272	ENSG00000137965.10	ENSG00000137965	IFI44	chr1
24132	ENSG00000137968.16	ENSG00000137968	SLC44A5	chr1
3081	ENSG00000137970.7	ENSG00000137970	RPL7P9	chr1
249924	ENSG00000137975.7	ENSG00000137975	CLCA2	chr1
441041	ENSG00000137976.7	ENSG00000137976	DNASE2B	chr1
8948	ENSG00000137992.14	ENSG00000137992	DBT	chr1
1378	ENSG00000137996.12	ENSG00000137996	RTCA	chr1
14260	ENSG00000138002.14	ENSG00000138002	IFT172	chr2
11759	ENSG00000138018.17	ENSG00000138018	SELENOI	chr2
4308	ENSG00000138028.15	ENSG00000138028	CGREF1	chr2
2285	ENSG00000138029.13	ENSG00000138029	HADHB	chr2
11873	ENSG00000138030.12	ENSG00000138030	KHK	chr2
7209	ENSG00000138031.14	ENSG00000138031	ADCY3	chr2
5689	ENSG00000138032.20	ENSG00000138032	PPM1B	chr2
15413	ENSG00000138035.14	ENSG00000138035	PNPT1	chr2
8972	ENSG00000138036.18	ENSG00000138036	DYNC2LI1	chr2
2537	ENSG00000138039.14	ENSG00000138039	LHCGR	chr2
7615	ENSG00000138050.14	ENSG00000138050	THUMPD2	chr2
8282	ENSG00000138061.11	ENSG00000138061	CYP1B1	chr2
2008	ENSG00000138069.16	ENSG00000138069	RAB1A	chr2
15274	ENSG00000138071.13	ENSG00000138071	ACTR2	chr2
1035	ENSG00000138073.13	ENSG00000138073	PREB	chr2
555	ENSG00000138074.14	ENSG00000138074	SLC5A6	chr2
433359	ENSG00000138075.11	ENSG00000138075	ABCG5	chr2
5043	ENSG00000138078.15	ENSG00000138078	PREPL	chr2
117747	ENSG00000138079.13	ENSG00000138079	SLC3A1	chr2
6057	ENSG00000138080.13	ENSG00000138080	EMILIN1	chr2
15951	ENSG00000138081.20	ENSG00000138081	FBXO11	chr2
97174	ENSG00000138083.4	ENSG00000138083	SIX3	chr2
16030	ENSG00000138085.16	ENSG00000138085	ATRAID	chr2
12746	ENSG00000138092.10	ENSG00000138092	CENPO	chr2
14176	ENSG00000138095.18	ENSG00000138095	LRPPRC	chr2
40420	ENSG00000138100.13	ENSG00000138100	TRIM54	chr2
7682	ENSG00000138101.18	ENSG00000138101	DTNB	chr2
10384	ENSG00000138107.12	ENSG00000138107	ACTR1A	chr10
328491	ENSG00000138109.9	ENSG00000138109	CYP2C9	chr10
5481	ENSG00000138111.14	ENSG00000138111	MFSD13A	chr10
43232	ENSG00000138115.13	ENSG00000138115	CYP2C8	chr10
7017	ENSG00000138119.16	ENSG00000138119	MYOF	chr10
10320	ENSG00000138131.3	ENSG00000138131	LOXL4	chr10
8588	ENSG00000138134.11	ENSG00000138134	STAMBPL1	chr10
4427	ENSG00000138135.6	ENSG00000138135	CH25H	chr10
114168	ENSG00000138136.6	ENSG00000138136	LBX1	chr10
